nconst,primaryName,primaryProfession,knownForTitles
nm0000001,Fred Astaire,"soundtrack,actor,miscellaneous","tt0072308,tt0053137,tt0043044,tt0050419"
nm0000002,Lauren Bacall,"actress,soundtrack","tt0117057,tt0071877,tt0038355,tt0037382"
nm0000003,Brigitte Bardot,"actress,soundtrack,producer","tt0049189,tt0059956,tt0057345,tt0054452"
nm0000004,John Belushi,"actor,writer,soundtrack","tt0080455,tt0078723,tt0077975,tt0072562"
nm0000005,Ingmar Bergman,"writer,director,actor","tt0069467,tt0050976,tt0050986,tt0083922"
nm0000007,Humphrey Bogart,"actor,soundtrack,producer","tt0033870,tt0034583,tt0043265,tt0037382"
nm0000008,Marlon Brando,"actor,soundtrack,director","tt0078788,tt0068646,tt0047296,tt0070849"
nm0000009,Richard Burton,"actor,producer,soundtrack","tt0061184,tt0057877,tt0087803,tt0059749"
nm0000010,James Cagney,"actor,soundtrack,director","tt0029870,tt0031867,tt0035575,tt0055256"
nm0000011,Gary Cooper,"actor,soundtrack,producer","tt0027996,tt0044706,tt0034167,tt0035211"
nm0000012,Bette Davis,"actress,soundtrack,make_up_department","tt0035140,tt0042192,tt0056687,tt0031210"
nm0000013,Doris Day,"soundtrack,actress,producer","tt0048317,tt0055100,tt0053172,tt0060463"
nm0000014,Olivia de Havilland,"actress,soundtrack","tt0029843,tt0031381,tt0040806,tt0041452"
nm0000015,James Dean,"actor,miscellaneous","tt0048545,tt0048028,tt0045458,tt0049261"
nm0000016,Georges Delerue,"composer,soundtrack,music_department","tt0069946,tt0096320,tt0080610,tt0091763"
nm0000017,Marlene Dietrich,"soundtrack,actress,music_department","tt0040367,tt0055031,tt0052311,tt0051201"
nm0000018,Kirk Douglas,"actor,producer,soundtrack","tt0080736,tt0052365,tt0049456,tt0054331"
nm0000019,Federico Fellini,"writer,director,assistant_director","tt0056801,tt0071129,tt0047528,tt0053779"
nm0000020,Henry Fonda,"actor,producer,soundtrack","tt0032551,tt0050083,tt0064116,tt0082846"
nm0000021,Joan Fontaine,"actress,soundtrack,producer","tt0032976,tt0039504,tt0036969,tt0034248"
nm0000022,Clark Gable,"actor,soundtrack,producer","tt0052278,tt0025316,tt0026752,tt0031381"
nm0000023,Judy Garland,"soundtrack,actress","tt0037059,tt0055031,tt0032138,tt0047522"
nm0000024,John Gielgud,"actor,writer,director","tt0071877,tt0082031,tt0045943,tt0117631"
nm0000025,Jerry Goldsmith,"music_department,soundtrack,composer","tt0100802,tt0119488,tt0112715,tt0117731"
nm0000026,Cary Grant,"actor,soundtrack,producer","tt0056923,tt0036613,tt0053125,tt0048728"
nm0000027,Alec Guinness,"actor,soundtrack,writer","tt0051739,tt0041546,tt0050212,tt0076759"
nm0000028,Rita Hayworth,"actress,soundtrack,producer","tt0036723,tt0040552,tt0040525,tt0038559"
nm0000029,Margaux Hemingway,"actress,miscellaneous","tt0074802,tt0102122,tt0110138,tt0077800"
nm0000030,Audrey Hepburn,"actress,soundtrack","tt0054698,tt0046250,tt0058385,tt0056923"
nm0000031,Katharine Hepburn,"actress,soundtrack,writer","tt0043265,tt0063227,tt0032904,tt0082846"
nm0000032,Charlton Heston,"actor,director,writer","tt0070723,tt0049833,tt0052618,tt0063442"
nm0000033,Alfred Hitchcock,"actor,director,producer","tt0053125,tt0030341,tt0054215,tt0052357"
nm0000034,William Holden,"actor,soundtrack","tt0043014,tt0074958,tt0065214,tt0046359"
nm0000035,James Horner,"music_department,soundtrack,composer","tt0120647,tt0120338,tt0499549,tt0120746"
nm0000036,Buster Keaton,"actor,writer,director","tt0015324,tt0017925,tt0016332,tt0015863"
nm0000037,Gene Kelly,"actor,soundtrack,director","tt0045152,tt0041944,tt0041716,tt0043278"
nm0000038,Grace Kelly,"actress,soundtrack","tt0046912,tt0044706,tt0048728,tt0047396"
nm0000039,Deborah Kerr,"actress,soundtrack","tt0050105,tt0049408,tt0045793,tt0039192"
nm0000040,Stanley Kubrick,"director,writer,producer","tt0120663,tt0072684,tt0062622,tt0066921"
nm0000041,Akira Kurosawa,"writer,director,assistant_director","tt0047478,tt0080979,tt0051808,tt0089881"
nm0000043,Veronica Lake,"actress,soundtrack,producer","tt0034881,tt0034240,tt0034798,tt0038369"
nm0000044,Burt Lancaster,"actor,producer,miscellaneous","tt0050468,tt0059825,tt0053793,tt0045793"
nm0000045,Bruce Lee,"actor,miscellaneous,producer","tt0068935,tt0068767,tt0077594,tt0070034"
nm0000046,Vivien Leigh,"actress,soundtrack,writer","tt0031381,tt0044081,tt0055382,tt0033238"
nm0000047,Sophia Loren,"actress,soundtrack","tt0076085,tt0060121,tt0058335,tt0054749"
nm0000048,Peter Lorre,"actor,soundtrack,writer","tt0022100,tt0033870,tt0034583,tt0036613"
nm0000049,Henry Mancini,"music_department,soundtrack,composer","tt0057413,tt0054698,tt0383216,tt0085101"
nm0000051,James Mason,"actor,producer,writer","tt0046672,tt0047522,tt0053125,tt0056193"
nm0000052,Marcello Mastroianni,"actor,soundtrack,producer","tt0057171,tt0056801,tt0053779,tt0076085"
nm0000053,Robert Mitchum,"actor,soundtrack,producer","tt0039689,tt0048424,tt0056197,tt0101540"
nm0000054,Marilyn Monroe,"soundtrack,actress,writer","tt0050861,tt0053291,tt0048605,tt0045810"
nm0000055,Alfred Newman,"music_department,composer,soundtrack","tt0042192,tt0065377,tt0434409,tt0056085"
nm0000056,Paul Newman,"actor,producer,director","tt0084855,tt0090863,tt0061512,tt0054997"
nm0000057,David Niven,"actor,producer,soundtrack","tt0061452,tt0057413,tt0074937,tt0052182"
nm0000058,Maureen O'Hara,"actress,soundtrack","tt0041149,tt0055277,tt0045061,tt0039628"
nm0000059,Laurence Olivier,"actor,producer,director","tt0069281,tt0032976,tt0040416,tt0054331"
nm0000060,Gregory Peck,"actor,producer,soundtrack","tt0046250,tt0056592,tt0039416,tt0041996"
nm0000061,Tyrone Power,"actor,soundtrack,producer","tt0043959,tt0032762,tt0051201,tt0038873"
nm0000062,Elvis Presley,"soundtrack,actor,music_department","tt0056585,tt0053848,tt0056023,tt0054692"
nm0000063,Anthony Quinn,"actor,producer,soundtrack","tt0056172,tt0049456,tt0074896,tt0057831"
nm0000064,Edward G. Robinson,"actor,soundtrack,writer","tt0021079,tt0070723,tt0040506,tt0036775"
nm0000066,Jane Russell,"actress,soundtrack,producer","tt0043476,tt0043643,tt0045177,tt0045810"
nm0000067,Miklós Rózsa,"music_department,composer,soundtrack","tt0052618,tt0054847,tt0036775,tt0038109"
nm0000068,Randolph Scott,"actor,producer,soundtrack","tt0026942,tt0056412,tt0049743,tt0051047"
nm0000069,Frank Sinatra,"soundtrack,actor,producer","tt0056218,tt0052218,tt0045793,tt0050815"
nm0000070,Max Steiner,"music_department,composer,soundtrack","tt0034583,tt0040897,tt0031381,tt0036613"
nm0000071,James Stewart,"actor,soundtrack,director","tt0032904,tt0031679,tt0052357,tt0052561"
nm0000072,Elizabeth Taylor,"actress,soundtrack,producer","tt0053318,tt0061184,tt0051459,tt0056937"
nm0000073,Shirley Temple,"actress,soundtrack,writer","tt0032264,tt0040369,tt0027421,tt0030657"
nm0000074,Gene Tierney,"actress,soundtrack","tt0037008,tt0039420,tt0037865,tt0038492"
nm0000075,Spencer Tracy,"actor,soundtrack","tt0055031,tt0053946,tt0061735,tt0057193"
nm0000076,François Truffaut,"writer,director,producer","tt0075860,tt0053198,tt0070460,tt0055032"
nm0000077,Franz Waxman,"music_department,composer,soundtrack","tt0043924,tt0032976,tt0043014,tt0034248"
nm0000078,John Wayne,"actor,producer,soundtrack","tt0056217,tt0057298,tt0065126,tt0053580"
nm0000079,Raquel Welch,"actress,soundtrack,producer","tt0060397,tt0070291,tt0072281,tt0250494"
nm0000080,Orson Welles,"actor,director,writer","tt0052311,tt0033467,tt0059012,tt0057427"
nm0000081,Natalie Wood,"actress,soundtrack,music_department","tt0055614,tt0055471,tt0057263,tt0048545"
nm0000082,Victor Young,"music_department,soundtrack,composer","tt0045061,tt0090756,tt0119094,tt3315342"
nm0000084,Li Gong,actress,"tt0473444,tt0430357,tt0101640,tt0397535"
nm0000090,Armin Mueller-Stahl,"actor,director,writer","tt0139809,tt0963178,tt0765443,tt0117631"
nm0000092,John Cleese,"actor,writer,producer","tt0063929,tt0071853,tt0085959,tt0095159"
nm0000093,Brad Pitt,"actor,producer,soundtrack","tt0356910,tt0114746,tt1210166,tt0816711"
nm0000095,Woody Allen,"writer,director,actor","tt0091167,tt0075686,tt0079522,tt0097123"
nm0000096,Gillian Anderson,"actress,producer,soundtrack","tt0442632,tt0455590,tt2294189,tt0106179"
nm0000098,Jennifer Aniston,"actress,producer,soundtrack","tt0108778,tt1723121,tt1038919,tt3442006"
nm0000099,Patricia Arquette,"actress,director,soundtrack","tt0145531,tt0412175,tt0108399,tt1065073"
nm0000100,Rowan Atkinson,"actor,writer,producer","tt0118689,tt0274166,tt0109831,tt0110357"
nm0000101,Dan Aykroyd,"writer,actor,producer","tt0106598,tt0087332,tt0080455,tt0118747"
nm0000102,Kevin Bacon,"actor,producer,soundtrack","tt0164052,tt0361127,tt0327056,tt0087277"
nm0000103,Fairuza Balk,"actress,soundtrack","tt0089908,tt0181875,tt0120586,tt0115963"
nm0000104,Antonio Banderas,"actor,soundtrack,producer","tt0285823,tt0120746,tt0120657,tt1189073"
