tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_x,writers,yearplus1,yearminus1,movie_id,title,directors_y,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,year
tt4126694,5.8,1604,movie,1 Night,One Night,0,2016,\N,80,"Drama,Romance",nm6850073,nm6850073,2017,2015,771457809,1 Night (One Night),Minhal Baig,"Drama, Romance","Feb 10, 2017","Feb 10, 2017",,NR,80.0,Sorrento Productions,Minhal Baig,"Thirty-something (Anna Camp) who must decide whether to salvage her relationship with Drew (Justin Chatwin) after much personal disappointment. Meanwhile, Bea (Isabelle Fuhrman), a worrisome teenager, reconnects with her introverted childhood friend, Andy (Kyle Allen) to overcome their difference in high school status following their prom. Past and present collide as two couples explore love over the course of one night at a hotel.",4.3/10,5.0,1.0,4.0,,,,,3.5/5,154,1 Night,2017
tt3865478,5.7,1451,movie,11 Minutes,11 minut,0,2015,\N,81,"Drama,Thriller",nm0804592,nm0804592,2016,2014,771428937,11 Minutes (11 Minut),Jerzy Skolimowski,"Art House & International, Drama, Mystery & Suspense","Apr 8, 2016","Aug 16, 2016",,NR,81.0,,Jerzy Skolimowski,"This film from director Jerzy Skolimowski takes place over the course of 11 minutes during a day in Warsaw, exploring the stories of a number of people in the process.",5.6/10,17.0,12.0,5.0,3.8/10,5.0,4.0,1.0,2.9/5,158,11 Minutes,2016
tt0809407,7.4,6466,movie,12:08 East of Bucharest,A fost sau n-a fost?,0,2006,\N,89,"Comedy,Drama",nm1717949,nm1717949,2007,2005,377006508,12:08 East of Bucharest (A fost sau n-a fost?),Corneliu Porumboiu,"Art House & International, Comedy, Drama","Jun 6, 2007","Oct 9, 2007",,NR,88.0,Artroumain,Corneliu Porumboiu,"Gil-Scott Heron once wrote ""the revolution will not be televised,"" but one Romanian newsman attempts to put his nation's revolution on the air after the fact in this satiric comedy from writer and director Corneliu Porumboiu. It's the sixteenth anniversary of the revolt that removed Communist dictator Nicolae Ceausescu from power in Romania, and Jderescu (Ion Sapdaru) is the host of a televised public affairs show who wants to do a special program on the revolution. Jderescu's idea is to bring on a handful of ordinary citizens to discuss their role in Ceausescu's overthrow and how their lives have changed since Communist rule was swept from Romania. However, Jderescu can only round up two guests for his broadcast -- elderly Piscoci (Mircea Andreescu), who's more interested in playing Santa Claus for the neighborhood kids than talking politics, and Manescu (Teo Corban), a schoolteacher nursing a brutal hangover. As Jderescu tries to lead a serious discussion of how Romania has changed since Ceausescu was driven from power, the conversation wanders off on a tangent about where the revolution actually took place, and the waters become even more muddied when Jderescu opens up the phone lines for questions from viewers, most of whom have their own distinct (and strongly conflicting) memories of the Revolution . . . and one of which has a bone to pick with Manescu over some drunken insults he hurled the night before. A Fost Sau n-a Fost? (aka 12:08 East of Bucharest) received its North American premier at the 2006 Toronto Film Festival. ~ Mark Deming, Rovi",7.8/10,47.0,45.0,2.0,7.8/10,19.0,18.0,1.0,3.6/5,"5,161",12:08 East of Bucharest,2007
tt0074084,7.7,20093,movie,1900,Novecento,0,1976,\N,317,"Drama,History",nm0000934,"nm0033490,nm0078233,nm0000934",1977,1975,157435074,1900 (Novecento),Bernardo Bertolucci,"Art House & International, Drama","Nov 4, 1977","Dec 5, 2006",,R,315.0,Paramount Pictures,"Franco Arcalli, Giuseppe Bertolucci, Bernardo Bertolucci","Director Bernardo Bertolucci's epic detailing Italy's social and political progress. Burt Lancaster, Gerard Depardieu, Robert De Niro, Sterling Hayden, Donald Sutherland, Dominique Sanda.",6.1/10,16.0,8.0,8.0,,,,,4.1/5,"6,977",1900,1977
tt2822742,5.9,2033,movie,3 Hearts,3 coeurs,0,2014,\N,108,"Drama,Romance",nm0415245,"nm0092444,nm0415245",2015,2013,771385366,3 Hearts (3 coeurs),Benoît Jacquot,"Drama, Romance","Mar 13, 2015","Jul 27, 2015","$104,398",PG-13,106.0,Cohen Media Group,"Benoît Jacquot, Julien Boivent","A touching and tense drama about destiny, connections, and passion, 3 HEARTS presents a headily romantic look at a classic love triangle. One night in provincial France, Marc (Benoît Poelvoorde) meets Sylvie (Charlotte Gainsbourg) after missing his train back to Paris. Instantly and intensely drawn to one another, they wander through the streets until morning in rare, almost choreographed, harmony. A thwarted plan for a second meeting sends each in a separate direction - Sylvie reunites with her ex and leaves France; Marc falls in love and marries. What neither knows is that Marc's new bride is Sylvie's sister, Sophie (Chiara Mastroianni). Upon Sylvie's return to France, the spark between her and Marc is reignited in ways that will forever alter the relationships between sister to sister and husband to wife.(C) Cohen",6.8/10,39.0,31.0,8.0,7/10,15.0,12.0,3.0,3.1/5,429,3 Hearts,2015
tt5048406,6.0,355,movie,4 Days in France,Jours de France,0,2016,\N,137,"Comedy,Drama,Romance",nm2908724,"nm2908724,nm0720421,nm0858918,nm0727240,nm0869547,nm0003707,nm0107866,nm9778835,nm9687674,nm8671764,nm0286950",2017,2015,771474863,4 Days in France (Jours de France),Jérôme Reybaud,Drama,"Aug 4, 2017","Dec 19, 2017",,NR,141.0,The Cinema Guild,Jérôme Reybaud,"On a seemingly ordinary night in Paris, Pierre takes one last look his lover Paul's sleeping body, then takes off into the early morning light. Where he's headed, neither of them know. Pierre's only guide is his Grindr app, which leads him on a series of encounters with an indelible cast of characters across the French countryside. Paul sets out after him, using his own phone to track Pierre's movements in a strange and wonderful game of Grindr cat-and-mouse. Jérôme Reybaud's assured feature debut is ""an erotic road movie like no other"" (Film Society of Lincoln Center) and an ""ode to cruising writ large"" (Slant). It's a tale imbued with sensuality, humor and surprising tenderness. Sumptuously shot by Sabine Lancelin (Rohmer's Boyfriends and Girlfriends, Oliveira's The Strange Case of Angelica) and featuring a supporting a cast of familiar faces from French cinema, 4 Days in France offers a sophisticated take on gay romance in the 21st century.",7.3/10,19.0,17.0,2.0,8/10,9.0,8.0,1.0,2.9/5,90,4 Days in France,2017
tt5639354,7.2,17330,movie,A Fantastic Woman,Una Mujer Fantástica,0,2017,\N,104,Drama,nm0133326,"nm0133326,nm1752036",2018,2016,771468629,A Fantastic Woman (Una mujer fantástica),Sebastián Lelio,"Art House & International, Drama","Feb 2, 2018","May 22, 2018","$806,746","R (for language, sexual content, nudity and a disturbing assault.)",100.0,Sony Pictures Classics,"Sebastián Lelio, Gonzalo Maza","Marina (Daniela Vega), a transgender nightclub singer, comes under suspicion when her much older lover Orlando (Francisco Reyes) dies suddenly. After being harassed and threatened by her late boyfriend's vengeful relatives and the police, she must defend her rights as both Orlando's partner and as a human being.",8.1/10,205.0,191.0,14.0,8.5/10,37.0,35.0,2.0,3.8/5,"2,352",A Fantastic Woman,2018
tt4080728,7.7,37639,movie,A Man Called Ove,En man som heter Ove,0,2015,\N,116,"Comedy,Drama,Romance",nm0391502,"nm0391502,nm7554519",2016,2014,771439011,A Man Called Ove (En man som heter Ove),Hannes Holm,"Art House & International, Comedy, Drama","Sep 30, 2016","Dec 27, 2016","$3,358,518","PG-13 (for thematic content, some disturbing images, and language)",116.0,Tre Vänner Produktion AB,Hannes Holm,"Stepping from the pages of Fredrik Backman's international best-selling novel, Ove is the quintessential angry old man next door. An isolated retiree with strict principles and a short fuse, who spends his days enforcing block association rules that only he cares about, and visiting his wife's grave, Ove has given up on life. Enter a boisterous young family next door who accidentally flattens Ove's mailbox while moving in and earning his special brand of ire. Yet from this inauspicious beginning an unlikely friendship forms and we come to understand Ove's past happiness and heartbreaks. What emerges is a heartwarming tale of unreliable first impressions and the gentle reminder that life is sweeter when it's shared.",7.1/10,110.0,99.0,11.0,7.2/10,22.0,19.0,3.0,4.1/5,"9,695",A Man Called Ove,2016
tt1235166,7.9,87399,movie,A Prophet,Un prophète,0,2009,\N,155,"Crime,Drama",nm0002191,"nm0081179,nm0002191,nm2022382,nm2425150",2010,2008,770808780,A Prophet (Un prophete),Jacques Audiard,"Art House & International, Drama","Feb 26, 2010","Aug 3, 2010","$1,515,303","R (for strong violence, sexual content, nudity, language and drug material)",155.0,Sony Pictures Classics,"Jacques Audiard, Thomas Bidegain, Nicolas Peufaillit, Abdel Raouf Dafri","Condemned to six years in prison, Malik El Djebena, part Arab, part Corsican, cannot read or write. Arriving at the jail entirely alone, he appears younger and more fragile than the other convicts. He is 19 years old. Cornered by the leader of the Corsican gang currently ruling the prison, he is given a number of ""missions"" to carry out, toughening him up and gaining the gang leader's confidence in the process. Malik is a fast learner and rises up the prison ranks, all the while secretly devising his own plans.",8.3/10,154.0,149.0,5.0,8.3/10,41.0,40.0,1.0,4.1/5,"24,876",A Prophet,2010
tt7133648,6.1,124,movie,A Skin So Soft,Ta peau si lisse,0,2017,\N,93,"Documentary,Sport",nm1992193,nm1992193,2018,2016,771475589,A Skin So Soft (Ta peau si lisse),Denis Côté,"Documentary, Sports & Fitness","Jun 15, 2018","Jun 19, 2018",,NR,94.0,Close Up Films,Denis Côté,"Jean-François, Ronald, Alexis, Cédric, Benoit and Maxim are gladiators of modern times. From the strongman to the top-class bodybuilder, to the veteran who has become a trainer, they all share the same definition, determination, and obsession: overcoming the limitations of their bodies. They are waiting for the next competition, slaving away in the gym and following extreme diets. A SKIN SO SOFT is a free exploration of the regimented daily lives of these misunderstood monsters.",6.9/10,14.0,13.0,1.0,0/10,5.0,4.0,1.0,3.5/5,71,A Skin So Soft,2018
