movie_id,title,directors_x,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,year,tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_y,writers,yearplus1,yearminus1
771435123,The Legend of Ben Hall,Matthew Holmes (VI),"Action & Adventure, Drama, Western","Dec 16, 2016","Aug 1, 2017",,NR,139.0,Vega Baby Releasing & Sony Pictures Home Entertain,Matthew Holmes (VI),"After two years on the run, bushranger Ben Hall considers surrendering to the law when his old friend John Gilbert entices him back into the game. Taking on fresh recruit John Dunn, the gang rides again, and before long they become the most wanted men in the country. When they are declared outlaws, the three decide to flee forever. As Hall seeks to make peace with his tortured past, a trusted friend becomes an informant. The law sets a cunning trap for the outlaws, and on the cold morning of May 5th 1865, Hall emerges alone from his camp... and walks into legend forever.",6.1/10,12.0,6.0,6.0,,,,,4.1/5,223,2016,tt3844876,5.9,1760,movie,The Legend of Ben Hall,The Legend of Ben Hall,0,2017,\N,139,"Action,Biography,Drama",nm2732016,nm2732016,2018,2016
771440395,Burden,"Richard Dewey, Timothy Marrinan",Documentary,"May 5, 2017","May 5, 2017","$18,001",NR,85.0,Magnolia Pictures,"Richard Dewey, Timothy Marrinan","Chris Burden guaranteed his place in art history in 1971 with a period of often dangerous and at times stomach-churning performances. After having himself shot, locked up in a locker for five days, electrocuted, and crucified on the back of a VW bug, Burden reinvented himself as the creator of truly mesmerizing installations and sculptures, from a suspended gigantic flywheel that seemingly spins on its own, to an assemblage of antique streetlights rewired for solar energy and illuminated outside the Los Angeles County Museum of Art. In BURDEN, Timothy Marrinan and Richard Dewey look at the artist's works and private life with an innovative mix of still-potent videos of his 70s performances, personal videos and audio recordings, friends, fellows students and colleagues, critics' comments and latter day footage at his Topanga Canyon studio, all peppered with his thoughts and musings through the years.",7.4/10,36.0,35.0,1.0,8.4/10,12.0,11.0,1.0,4/5,299,2017,tt5314450,6.3,204,movie,Burden,Burden,0,2018,\N,129,Drama,nm0373055,nm0373055,2019,2017
771433076,Submerged,"Stephen E. Miller, Steven C. Miller",Drama,"Nov 27, 2015","May 3, 2016",,NR,99.0,Twisted Pictures,Scott Milam,"A limousine joyride goes berserk in this breathless, pulse-pounding thriller. An ex-soldier turned bodyguard is hired to protect a young woman. But while cruising with a group of friends one night, their stretch limo is run off the road and underwater by a gang of ruthless kidnappers - who then dive in to finish the job. Suddenly it's sink or swim, as the bodyguard must fight to keep the vehicle from becoming a watery grave.",4.9/10,8.0,2.0,6.0,,,,,2.3/5,115,2015,tt3236976,4.1,1187,movie,Submerged,Submerged,0,2016,\N,99,"Action,Thriller",nm1921345,nm1556126,2017,2015
771380511,The Tribe,Miroslav Slaboshpitsky,"Art House & International, Drama","Jun 17, 2015","Mar 8, 2016","$76,637",NR,130.0,Drafthouse Films,Miroslav Slaboshpitsky,"Somewhere in Ukraine, Sergey enters a specialized boarding school for the deaf. Alone in this new and unfamiliar place, he must find his way through the school's hierarchy. Sergey quickly encounters the tribe, a student gang dealing in crime and prostitution. After passing their hazing rituals and being inducted into the group, he takes part in several robberies and begins to work his way up the chain of command to become pimp-protector for two of the girls, who turn tricks at the local truck stop. Finding himself in love with one of them, Sergey ultimately breaks all the unwritten rules of the tribe, with tragic consequences. (c) Drafthouse",7.6/10,126.0,110.0,16.0,7.3/10,32.0,28.0,4.0,3.6/5,"5,357",2015,tt3953186,4.6,327,movie,The Tribe,The Tribe,0,2016,\N,97,"Drama,Sci-Fi,Thriller",nm4367428,"nm3952882,nm3934012",2017,2015
771269790,Penumbra,"Adrian García Bogliano, Ramiro García Bogliano","Documentary, Horror, Mystery & Suspense, Special Interest","Apr 20, 2012","Apr 16, 2015",,NR,89.0,IFC Midnight,"Ramiro García Bogliano, Adrian García Bogliano","Marga is a highly motivated, arrogant and successful business woman on assignment in Buenos Aires - a city she hates and whose people she loathes. While in the Argentina capital on a day the whole population is waiting to view a rare solar eclipse, she must also find a new tenant for her family's decrepit apartment. Rapidly losing her patience waiting for one applicant, she runs into the mysterious Jorge lurking outside the front door of the place who informs her that he has a client willing to pay four times what she is asking in rent. There's one catch - the paperwork must be signed immediately. As greedy Marga waits to complete the transaction, several of Jorge's associates suspiciously appear at the apartment ready to strip the wallpaper. And what's behind the decor signals a startling fate worse than death - or should that be life! -- (C) IFC",6.6/10,6.0,3.0,3.0,,,,,2.7/5,553,2012,tt2641152,5.2,24,movie,Penumbra,Penumbra,0,2013,\N,89,Drama,nm4853559,nm4853559,2014,2012
771260782,Jackpot,Alan Black,Action & Adventure,"Jun 27, 2014","Aug 25, 2014",,NR,90.0,Music Box Films,,"Based on a story by Norway's leading crime novelist Jo Nesbø, Jackpot is a Coen Brothers-inspired take on homicidal greed and betrayal, Scandinavian-style. When Christmas tree factory supervisor Oscar Svendsen wakes up terrified and bloody in a strip joint, with a shotgun in his hand and eight corpses surrounding him, he's clearly going to have a lot of explaining to do. Under the intense interrogation of hard-boiled detective Solør, Oscar begins piecing together the unbelievable story of how he won the top prize in a soccer pool with his 3 dangerous ex-con colleagues. With a pile of cash at stake, the trio enters into a vicious battle over how to divide the money, dragging unwitting Oscar along for the violent ride. This rollicking gory romp racks up an impressive body count -- and will keep you guessing until the very end. (c) Music Box Films",5.5/10,36.0,22.0,14.0,5.8/10,8.0,6.0,2.0,3.3/5,500,2014,tt4320966,6.8,48,movie,Jackpot,Trung so,0,2015,\N,\N,Comedy,nm0629006,nm3293255,2016,2014
771322449,Hustlers,Wayne Kramer,"Action & Adventure, Comedy","Jul 12, 2013","Aug 27, 2013","$4,915","R (for violence, sexual material, graphic nudity, pervasive language and some drug use)",112.0,Anchor Bay Entertainment,Adam Minarovich,"In this shop, these people may be pawning far more than they bargained for: Brendan Fraser (THE MUMMY), Elijah Wood (THE LORD OF THE RINGS), Vincent D'Onofrio (MEN IN BLACK), Academy Award (R) nominee Matt Dillon (CRASH), Norman Reedus (""The Walking Dead), Thomas Jane (""Hung""), Lukas Haas (INCEPTION), and Paul Walker (THE FAST & THE FURIOUS), star in 3 twisted tales all connected by items from a Southern small-town pawn shop. A man searching for his kidnapped wife, a couple of white-supremacist meth heads, and a sad-sack Elvis impersonator, plus more desperate characters come to life in the action-packed and hilarious story written by Adam Minarovich and from the director of THE COOLER and RUNNING SCARED, Wayne Kramer. (c) Official Facebook",3.5/10,16.0,2.0,14.0,2.5/10,7.0,0.0,7.0,2.8/5,"1,475",2013,tt3512976,7.7,19,movie,Hustlers,Hustlers,0,2014,\N,105,Drama,nm2256467,nm6272923,2015,2013
771315194,Leviathan,"Lucien Castaing-Taylor, Verena Paravel","Documentary, Special Interest","Mar 1, 2013","Oct 8, 2013","$10,018",NR,87.0,Cinema Guild,,"in the very waters where melville's pequod gave chase to moby dick, leviathan captures the collaborative clash of man, nature, and machine. shot on a dozen cameras - tossed and tethered, passed from fisherman to filmmaker - it is a cosmic portrait of one of mankind's oldest endeavors. (c) Official Site",7.2/10,48.0,40.0,8.0,7.2/10,15.0,13.0,2.0,3.2/5,"2,211",2013,tt2802154,7.6,42395,movie,Leviathan,Leviafan,0,2014,\N,140,"Crime,Drama",nm1168657,"nm2697466,nm1168657",2015,2013
771305013,I Declare War,"Jason Lapeyre, Robert Wilson","Action & Adventure, Comedy, Drama","Aug 30, 2013","Nov 12, 2013","$9,825",NR,96.0,Drafthouse Films,Jason Lapeyre,"Armed with nothing more than twigs, their imaginations and a simple set of rules, a group of 12-year-olds engaged in a lively game of Capture the Flag in the neighborhood woods start dangerously blurring the lines between make-believe and reality. Rocks = Grenades. Trees = Control towers. Sticks = Submachine guns. The youthful innocence of the game gradually takes on a different tone as the quest for victory pushes the boundaries of friendship. The would-be warriors get a searing glimpse of humanity's dark side as their combat scenario takes them beyond the rules of the game and into an adventure where fantasy combat clashes with the real world. (c) Drafthouse Films",6.7/10,41.0,30.0,11.0,6/10,14.0,8.0,6.0,3.3/5,"1,867",2013,tt4768794,4.8,12,movie,I Declare War,I Declare War,0,2014,\N,80,Drama,nm4826661,nm4826661,2015,2013
771249668,The Big Fix,"Josh Tickell, Joshua Tickell, Rebecca Harrell","Documentary, Special Interest","Nov 11, 2011","Jun 19, 2012",,NR,112.0,Green Planet Productions,Johnny O'Hara,"On April 22, 2010 the Deepwater Horizon offshore drilling rig run by BP sunk into the Gulf of Mexico creating the worst oil spill in history. Until the oil well was killed on September 19, 779,037,744 liters of crude oil and over 7,000,000 liters of chemical dispersant spread into the sea. By exposing the root causes of the spill filmmakers Josh and Rebecca Tickell uncover a vast network of corruption. The Big Fix is a damning indictment of a system of government led by a powerful and secretive oligarchy that puts the pursuit of profit over all other human and environmental needs. -- (C) Official Site",6/10,7.0,6.0,1.0,6.5/10,5.0,5.0,0.0,4.3/5,242,2011,tt1939753,7.7,377,movie,The Big Fix,The Big Fix,0,2012,\N,89,Documentary,"nm1288736,nm0364117",nm2571393,2013,2011
