movie_id,title,directors_x,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,year,tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_y,writers
771494114,Shoplifters (Manbiki kazoku),Hirokazu Koreeda,"Art House & International, Drama","Nov 23, 2018","Feb 12, 2019",,R (for some sexual content and nudity),121.0,Magnolia Pictures,Hirokazu Koreeda,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu's wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them...",8.8/10,191.0,189.0,2.0,9/10,31.0,31.0,0.0,4.3/5,"1,456",Shoplifters,2018,tt8075192,8.1,17734,movie,Shoplifters,Manbiki kazoku,0,2018,\N,121,"Crime,Drama",nm0466153,nm0466153
771489881,The Guilty (Den skyldige),Gustav Möller,"Drama, Mystery & Suspense","Oct 19, 2018","Feb 5, 2019",,R (for language),85.0,Magnolia Pictures,"Emil Nygaard Albertsen, Gustav Möller","When police officer Asger Holm (Jakob Cedergren) is demoted to desk work, he expects a sleepy beat as an emergency dispatcher. That all changes when he answers a panicked phone call from a kidnapped woman who then disconnects abruptly. Asger, confined to the police station, is forced to use others as his eyes and ears as the severity of the crime slowly becomes more clear. The search to find the missing woman and her assailant will take every bit of his intuition and skill, as a ticking clock and his own personal demons conspire against him. This innovative and unrelenting Danish thriller uses a single location to great effect, ratcheting up the tension as twists pile up and secrets are revealed. Director Gustav Möller expertly frames the increasingly messy proceedings against the clean Scandinavian sterility of the police department, while Cedergren's strong performance anchors the film and places the audience squarely in Holm's tragically flawed yet well-intentioned mindspace.",7.9/10,92.0,91.0,1.0,8/10,20.0,20.0,0.0,4.1/5,941,The Guilty,2018,tt6742252,7.6,18501,movie,The Guilty,Den skyldige,0,2018,\N,85,"Crime,Drama,Thriller",nm7546166,"nm7546166,nm3764055"
771490638,The Apparition (L'apparition),Xavier Giannoli,Drama,"Sep 7, 2018","Jan 22, 2019",,NR,144.0,Music Box Films,Xavier Giannoli,"Jacques (Vincent Lindon) is a journalist at a large regional newspaper in France. His reputation as an impartial investigator attracts the attention of the Vatican, who recruit him to lead a committee to explore the legitimacy of a saintly apparition in a small French village-a true canonical investigation. Upon his arrival, he meets the young novitiate Anna, who claims to have personally witnessed an apparition of the Virgin Mary. She's garnered an impressive following in the village but is torn between her faith and the many solicitations she receives. Confronted with opposing views from clergy members and skeptics, Jacques finds his belief system profoundly shaken as he works to uncover the hidden motivations and pressures at work.",6.3/10,41.0,29.0,12.0,6.8/10,10.0,6.0,4.0,3.8/5,57,The Apparition,2018,tt6559390,6.4,722,movie,The Apparition,L'apparition,0,2018,\N,144,Drama,nm0316306,"nm0276466,nm0316306,nm0738925"
771493237,Here and Now (Blue Night),Fabien Constant,"Drama, Musical & Performing Arts, Romance","Nov 9, 2018","Jan 22, 2019",,R,96.0,AMBI Distribution,Laura Eason,"Vivienne (Sarah Jessica Parker), is an established singer/songwriter with a successful music career. On the eve of a major performance, Vivienne receives some life-altering news that causes her to reevaluate her priorities. As she crisscrosses the busy streets of New York City, she tries to balance her upcoming music tour, family, and friends. With the support of her overbearing mother, Jeanne (Jacqueline Bisset), her long-time manager, Ben (Common), and her ex-husband, Nick (Simon Baker), Vivienne strives to make peace with the decisions and sacrifices she's made along the way.",4/10,22.0,5.0,17.0,4.5/10,7.0,1.0,6.0,1.5/5,51,Here and Now,2018,tt6069162,4.4,541,movie,Here and Now,Blue Night,0,2018,\N,91,"Drama,Music,Romance",nm2078734,nm0247495
771493237,Here and Now (Blue Night),Fabien Constant,"Drama, Musical & Performing Arts, Romance","Nov 9, 2018","Jan 22, 2019",,R,96.0,AMBI Distribution,Laura Eason,"Vivienne (Sarah Jessica Parker), is an established singer/songwriter with a successful music career. On the eve of a major performance, Vivienne receives some life-altering news that causes her to reevaluate her priorities. As she crisscrosses the busy streets of New York City, she tries to balance her upcoming music tour, family, and friends. With the support of her overbearing mother, Jeanne (Jacqueline Bisset), her long-time manager, Ben (Common), and her ex-husband, Nick (Simon Baker), Vivienne strives to make peace with the decisions and sacrifices she's made along the way.",4/10,22.0,5.0,17.0,4.5/10,7.0,1.0,6.0,1.5/5,51,Here and Now,2018,tt8332364,6.3,12,movie,Here and Now,Here and Now,0,2018,\N,90,Drama,nm4683076,"nm9949118,nm4683936,nm4683076"
771494225,Burning (Beoning),Chang-dong Lee,"Art House & International, Drama, Mystery & Suspense","Oct 26, 2018","Jan 29, 2019",,NR,148.0,Well Go USA Entertainment,"Oh Jung-Mi, Chang-dong Lee","BURNING tells the story of three individuals and a mysterious incident they experience. Jongsu bumps into an old friend, Haemi, on a part-time delivery job. Haemi asks Jongsu to take care of her cat while she leaves on a trip to Africa. When she returns, Haemi introduces Jongsu to Ben, a man she met in Africa. One day, Ben and Haemi pay Jongsu a visit, and Ben reveals his secret interests to Jongsu.",8.7/10,152.0,143.0,9.0,8.5/10,30.0,29.0,1.0,4/5,"1,048",Burning,2018,tt7282468,7.6,14772,movie,Burning,Beoning,0,2018,\N,148,"Drama,Mystery",nm0496969,"nm7669131,nm0496969,nm1633142"
771381404,Captain Underpants: The First Epic Movie (Captain Underpants),David Soren,"Animation, Comedy","Jun 2, 2017","Sep 12, 2017","$73,895,861",PG (for mild rude humor throughout),84.0,20th Century Fox,Nicholas Stoller,"Based on the worldwide sensation and bestselling book series, and boasting an A-list cast of comedy superstars headed by Kevin Hart and Ed Helms, DreamWorks Animation brings audiences the long-awaited global movie event, Captain Underpants: The First Epic Movie. This raucously subversive comedy for the entire family tells the story of two overly imaginative pranksters named George and Harold, who hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",6.9/10,127.0,111.0,16.0,6.8/10,26.0,22.0,4.0,3.5/5,"21,095",Captain Underpants: The First Epic Movie,2017,tt2091256,6.2,21225,movie,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,0,2017,\N,89,"Action,Animation,Comedy",nm1659741,"nm0831557,nm2438127,nm1659741"
771437821,Things to Come (L'avenir),Mia Hansen-Løve,"Art House & International, Drama","Dec 2, 2016","May 9, 2017","$335,929",PG-13 (for brief language and drug use),100.0,IFC Films,Mia Hansen-Løve,"What happens when the life you've worked so hard to build falls apart? In THINGS TO COME, Oscar nominee Isabelle Huppert, in ""a career-best performance"" (Jordan Hoffman, Vanity Fair), portrays Nathalie, a philosophy teacher juggling a rich life of the mind with the day-to-day demands of career and family, which include frequent visits to her drama queen mother, played by the legendary Edith Scob(Eyes Without a Face). But with the bombshell revelation that her husband of 25 years is leaving her, Nathalie finds herself adrift, but also with a newfound sense of liberation. With nothing to hold her back, Nathalie sets out to define this new phase of her life and to rediscover herself. Winner of the Best Director award at the 2016 Berlin International Film Festival, the acclaimed new film from Mia Hansen-Love (Eden) is a soul-searching look at what it means to create a life of one's own.",8.2/10,136.0,135.0,1.0,8.1/10,28.0,28.0,0.0,3.6/5,"6,646",Things to Come,2016,tt4120176,7.0,9658,movie,Things to Come,L'avenir,0,2016,\N,102,Drama,nm0361135,nm0361135
771449855,The Duelist (Duelyant),Aleksey Mizgirev,"Action & Adventure, Drama","Dec 2, 2016","Apr 18, 2017",,R (for strong violence and some sexuality/nudity),110.0,Non-Stop Production,Aleksey Mizgirev,"A professional duelist in 19th-century Russia has second thoughts about his profession when he meets the beautiful sister of a future opponent, in this handsome historical epic. This deceptively glossy production is also a highly proficient and effective epic set in 19th-century Czarist Russia. It focuses on a handsome, ruthless protagonist who is a professional duellist at a time when the nobility settled disputes and slights against honour by taking up swords or pistols against each other in highly regulated rituals. There was a strict code of behavior applied to the practice of duelling; one rule was that a substitute was allowed, another was that nobles would fight only fellow nobles. Both conditions are central to this film's narrative. Returning to Saint Petersburg after a long exile, the dashing Yakovlev, a retired army officer, makes a comfortable living by winning other people's duels. An enigmatic, focused, and extremely skilled professional, he leaves a trail of dead bodies behind him as he swirls through polite society, frequently called upon to wield a pistol as a surrogate in duels at dawn. But when Yakovlev meets the naïve young Prince Tuchov and his beautiful sister, Princess Martha, the normally cold-hearted mercenary is surprised by hitherto undetected emotions. What transpires uncovers a series of revelations about his past and his present self. Employing a cast whose credits include films such as Stalingrad, Inglourious Basterds, Game of Thrones, and Mission: Impossible - Ghost Protocol, director Alexey Mizgirev relishes in the twists and turns of a story where the surprises come thick and fast. Featuring exceptional art direction, costume design, and cinematography, The Duelist delivers an engrossing story set against both the glittery high society of aristocratic Russia and a shadowy netherworld of ambition.",5.5/10,14.0,6.0,8.0,5.5/10,10.0,4.0,6.0,3.7/5,104,The Duelist,2016,tt5282006,6.4,2424,movie,The Duelist,Duelyant,0,2016,\N,109,"Action,Drama,Thriller",nm2462311,nm2462311
771438130,Fire at Sea (Fuocoammare),Gianfranco Rosi,"Art House & International, Documentary","Oct 21, 2016","Mar 21, 2017","$114,535",NR,108.0,21UNO FILM,Gianfranco Rosi,"Winner of the Golden Bear for Best Film at the Berlin Film Festival 2016, Gianfranco Rosi's incisive, poignant and deeply moving portrait of the Mediterranean island of Lampedusa--and the humanitarian crisis occurring in the seas around it--is both a masterly work of documentary filmmaking and a timely call for urgent action. Situated 150 miles south of Sicily, Lampedusa has hit headlines as the first port of call for hundreds of thousands of African and Middle Eastern refugees hoping to make a new life in Europe. After spending months living on the island and engaging with its inhabitants, Rosi accumulated an incredible array of footage, portraying the history, culture and daily lives of the islanders. Focusing on 12-year-old Samuele, as he explores the land and attempts to gain mastery of the sea, the film slowly builds a breathtakingly naturalistic portrait of the Lampedusan people and the events that surround them. The result is a lyrical, poetic and searingly powerful documentary that casts neither judgement nor aspersions, but simply shows the world to the viewer--to utterly devastating effect.",7.9/10,88.0,83.0,5.0,8.2/10,19.0,18.0,1.0,3.5/5,"2,298",Fire at Sea,2016,tt3652526,6.8,4779,movie,Fire at Sea,Fuocoammare,0,2016,\N,114,Documentary,nm0742941,"nm0742941,nm2643610"
