movie_id,title,directors_x,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,writer_1,writer_2,writer_3,tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_y,writers,writer1,nconst,primaryName,primaryProfession,knownForTitles
771418828,808,Alex Dunn,Documentary,,"Dec 9, 2016",,NR,94.0,You Know Films,"Luke Bainbridge, Alex Dunn","This is a documentary film that will tell the inspiring story of the Roland TR808, from the creation of Planet Rock which established it as a dynamic modern instrument, to how it defined hip hop and modern dance culture, through to its continued use today.",7/10,6.0,6.0,0.0,,,,,3.5/5,87,Luke Bainbridge,Alex Dunn,,tt2268622,7.1,389,movie,808,808,0,2015,\N,107,"Documentary,Music",nm3597355,"nm1318327,nm3597355",nm1318327,nm1318327,Luke Bainbridge,"writer,producer",tt2268622
602695907,An Autumn Afternoon,Yasujiro Ozu,"Art House & International, Comedy, Drama","Jan 1, 1964","Sep 30, 2008",,NR,112.0,Shochiku Films of America,"Kôgo Noda, Yasujiro Ozu","Japanese director Yasujiro Ozu's Autumn Afternoon is an elegiac exercise in what one critic has labelled the director's sense of ""melancholy resignation."" Three elderly men discuss the problem of an aging friend's grown, unmarried daughter. The threesome decides to arrange a marriage for the girl, whether she likes it or not. Their machinations are counterpointed by a comic subplot concerning the exhausting union between an old man and a younger, more sexually supercharged, woman. Released in Japan as Samma no aji, Autumn Afternoon was the veteran Ozu's final film; he died one year after its completion.",8.9/10,20.0,19.0,1.0,7.9/10,6.0,5.0,1.0,4.2/5,"1,205",Kôgo Noda,Yasujiro Ozu,,tt0056444,8.2,6507,movie,An Autumn Afternoon,Sanma no aji,0,1962,\N,113,Drama,nm0654868,"nm0633792,nm0654868",nm0633792,nm0633792,Kôgo Noda,writer,"tt0051720,tt0046438,tt0041154,tt0053579"
771449338,Message from the King,Fabrice Du Welz,"Drama, Mystery & Suspense",,"Jul 21, 2017",,"R (for brutal vioelnce, grisly images, strong sexual content/nudity, language throughout and some drug use)",102.0,MFTK,Oliver Butcher,"After losing contact with his younger sister, Jacob King arrives in Los Angeles looking for her. Within twenty-four hours he finds unsettling evidence of a life gone awry - sex, drugs and secrets in the sleazy underbelly of the City of Angels. Message from the King is the story of what happens in the next seven days.",4.9/10,9.0,3.0,6.0,,,,,3.4/5,353,Oliver Butcher,,,tt1712192,6.4,9007,movie,Message from the King,Message from the King,0,2016,\N,102,Thriller,nm0239001,"nm0124700,nm0180508",nm0124700,nm0124700,Oliver Butcher,writer,"tt0112895,tt3204082,tt1712192,tt1401152"
771390128,My Mistress,,"Drama, Romance",,"May 5, 2015",,NR,104.0,Mini Studios,Gerard Lee,What starts as a beautiful and strangely innocent affair between a vulnerable teenage romantic and a French S&M mistress soon becomes more dangerous.,4.5/10,9.0,3.0,6.0,,,,,2.8/5,96,Gerard Lee,,,tt2622874,5.5,1234,movie,My Mistress,My Mistress,0,2014,\N,104,"Drama,Romance",nm2726126,"nm3096624,nm2726126,nm0165873,nm0382352,nm5928453",nm3096624,nm3096624,Gerard Lee,"writer,director,soundtrack","tt2622874,tt1553659,tt0112322,tt2103085"
771374253,Night Will Fall,André Singer,"Documentary, Drama, Special Interest",,"Jan 19, 2016",,NR,80.0,Spring Films Ltd.,Lynette Singer,Documentary that includes archive footage of a documentary made by Alfred Hitchcock and Sidney Bernstein about concentration camps.,8.1/10,22.0,22.0,0.0,9.3/10,6.0,6.0,0.0,4.4/5,762,Lynette Singer,,,tt3455822,8.0,2744,movie,Night Will Fall,Night Will Fall,0,2014,\N,75,"Documentary,History,War",nm0801885,nm2197925,nm2197925,nm2197925,Lynette Singer,"writer,producer,director","tt6116886,tt5817206,tt4742140,tt3455822"
771364214,Our Man in Tehran,"Larry Weinstein, Drew Taylor (XI)","Documentary, Special Interest","May 15, 2015","Aug 31, 2015","$2,333",NR,85.0,First Run Features,"Drew Taylor, Robert Wright","Our Man In Tehran is an in- depth, intimate exploration of the true story behind Ben Affleck's Oscar- winning film ARGO. In this gripping new documentary, the story of the ""Canadian Caper"" is told by the man who knows it best: Ken Taylor, Canada's former ambassador to Iran, who hid the six Americans in his official residence and obtained the counterfeit documents that allowed them to make their dramatic escape from Tehran. Based on Robert Wright's book, the film uncovers new information and adds valuable context, including an historical overview of Iran, interviews with the rescued Americans, former Prime Minister Joe Clark, ex-CIA officer Tony Mendez, and many others. (C) First Run Features",7.2/10,18.0,15.0,3.0,7.8/10,6.0,5.0,1.0,3.8/5,227,Drew Taylor,Robert Wright,,tt3142234,7.3,216,movie,Our Man in Tehran,Our Man in Tehran,0,2013,\N,85,"Documentary,History","nm5899379,nm0918452","nm5899379,nm5900985",nm5899379,nm5899379,Drew Taylor,"producer,director,writer","tt3142234,tt4722646"
771503964,Paddleton,Alexandre Lehmann,Drama,,"Feb 22, 2019",,NR,89.0,Netflix,"Mark Duplass, Alexandre Lehmann",An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,7.3/10,28.0,25.0,3.0,7.4/10,10.0,8.0,2.0,4.5/5,115,Mark Duplass,Alexandre Lehmann,,tt8041276,7.1,668,movie,Paddleton,Paddleton,0,2019,\N,89,Drama,nm1411972,"nm0243233,nm1411972",nm0243233,nm0243233,Mark Duplass,"actor,producer,writer","tt2918436,tt2756032,tt2428170,tt1862079"
771489110,Pass Over,Spike Lee,Drama,,"Apr 20, 2018",,NR,74.0,40 Acres & A Mule Filmworks,Antoinette Nwandu,"Academy Award nominee and Honorary Oscar winning Spike Lee captures the poetry, humor and humanity of this urgent and timely play about two young black men talking trash, passing the time, and dreaming of the promised land. A provocative riff on Waiting for Godot, Pass Over is",7.1/10,11.0,10.0,1.0,,,,,3.6/5,28,Antoinette Nwandu,,,tt7768846,5.8,479,movie,Pass Over,Pass Over,0,2018,\N,74,Drama,"nm2224861,nm0000490",nm6685476,nm6685476,nm6685476,Antoinette Nwandu,"actress,writer",tt3919790
770783621,Stay Cool,Ted Smith,Comedy,"Sep 16, 2011","Dec 20, 2011",,"PG-13 (for sexual content, language including some drug references, and some underage drinking)",94.0,Cinedigm Films,Mark Polish,"Henry McCarthy (Mark Polish), the 30-something author of the popular 80s-themed novel How Lionel Got Me Laid, returns to his suburban hometown of Sacramento to deliver the commencement speech at his former high school. Despite his success as an author Henry's return home has sparked all of the youthful dreams, desires and particularly disappointments he's never quite gotten over, specifically his unrequited affection for the girl who is now the local pharmacist: the elusive Scarlet Smith (Winona Ryder). Between run-ins with the outcast friends he left behind Big Girl (Sean Astin) and Wino (Josh Holloway), the school principal (Chevy Chase) and a seductive senior, Shasta O'Neil (Hilary Duff) who clearly has the hots for him, Henry is sent spinning through a time warp that incites all the old emotions and challenges of the world he grew up in. -- (C) Initiate Productions",4/10,7.0,1.0,6.0,,,,,2.7/5,"1,803",Mark Polish,,,tt1235807,5.2,3094,movie,Stay Cool,Stay Cool,0,2009,\N,94,"Comedy,Drama,Romance",nm0689187,nm0689185,nm0689185,nm0689185,Mark Polish,"actor,writer,producer","tt0469263,tt0162830,tt0261755,tt1648201"
770815563,Tales from the Golden Age,"Ioana Uricaru, Hanno Höffer, Razvan Marculescu, Constantin Popescu, Cristian Mungiu, Hanno Hofer","Art House & International, Comedy","Aug 26, 2011","Feb 14, 2012",,G,155.0,IFC Films,Cristian Mungiu,"The final 15 years of the Ceausescu regime were the worst in Romania's history. Nonetheless, the propaganda machine of that time referred without fail to that period as ""the golden age""... Tales from the Golden Age adapts for screen the most popular urban myths of the period. Comic, bizarre, surprising myths abounded, myths that drew on the often surreal events of everyday life under the communist regime. Humor is what kept Romanians alive, and Tales from the Golden Age aims to re-capture that mood, portraying the survival of a nation having to face every day the twisted logic of a dictatorship. -- (C) Official Site",6.9/10,33.0,30.0,3.0,6.8/10,7.0,7.0,0.0,3.8/5,"1,462",Cristian Mungiu,,,tt1422122,7.8,4546,movie,Tales from the Golden Age,Amintiri din epoca de aur,0,2009,\N,155,"Comedy,History","nm0353093,nm2031842,nm0691223,nm2239634,nm0612816",nm0612816,nm0612816,nm0612816,Cristian Mungiu,"producer,writer,director","tt2258281,tt4936450,tt1422122,tt1032846"
