tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_x,writers,director1,director2,nconst,primaryName,primaryProfession,knownForTitles,movie_id,title,directors_y,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,director_1,director_2,director_3
tt0056732,8.2,24330,movie,The Exterminating Angel,El ángel exterminador,0,1962,\N,95,"Drama,Fantasy",nm0000320,"nm0000320,nm0017274",nm0000320,,nm0000320,Luis Buñuel,"writer,director,actor","tt0061395,tt0068361,tt0056732,tt0042804",381420161,The Exterminating Angel (El Ángel Exterminador),Luis Buñuel,"Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy","Aug 21, 1967","Feb 10, 2009",,NR,95.0,Altura Films International,"Luis Buñuel, Luis Alcoriza","In this jet black and surreal comedy, a formal dinner party starts out normally enough. After the sophisticated guests retire to the host's exquisite music room, they find that they cannot leave. Hours pass and then days, and as the time plods by, disturbing changes in the formerly-genteel guests occur.",9/10,23.0,22.0,1.0,,,,,4.3/5,"7,240",The Exterminating Angel,Luis Buñuel,,
tt0058642,8.1,5072,movie,Shadows of Forgotten Ancestors,Tini zabutykh predkiv,0,1964,\N,97,"Drama,Music,Romance",nm0660886,"nm0155488,nm0468744,nm0660886",nm0660886,,nm0660886,Sergei Parajanov,"director,writer,producer","tt0094681,tt0063555,tt0058642,tt0087606",770672103,Shadows of Forgotten Ancestors (Tini zabutykh predkiv),Sergei Parajanov,"Art House & International, Drama, Romance","Mar 16, 1967","Feb 5, 2008",,NR,99.0,Artkino Pictures Inc.,,"Along with Tarkovsky and Dovzhenko, Sergei Paradjanov is one of the most important Soviet directors of last century. Paradjanov, who was periodically jailed and exiled because of his work, stunned world audiences in 1964 with his Shadows of Our Forgotten Ancestors, popularly known as the Romeo and Juliet of the Carpathians. The film is set among the Hutsul people of the Western Ukraine, an isolated ethnic group who live in the upper reaches of the mountain range. Their lives take place within a harsh environment and an ornate cultural system little changed since the 18th century. The film opens with the deaths of Ivanko's brother, Olexa, crushed by a tree, and father, Pyotr Pavlichuk, killed outside of church by his rich neighbor Guteniuk. During the funeral procession for his father, Ivanko meets Guteniuk's daughter, Marichka, and the stage is set for the star-crossed lovers. Structured episodically, the film checks in with Ivanko and Marichka as they fall in love and age towards adulthood. Finally of an age to marry, Ivanko finds himself unable, having been reduced to poverty by his father's death. Forced to work as a hired hand, he must leave his village and his beloved Marichka. Tragedy ensues and the remainder of the film concerns Ivanko's private and subtle dissolution as a result of this tragedy. ~ Brian Whitener, Rovi",8/10,18.0,18.0,0.0,8.6/10,8.0,8.0,0.0,4.3/5,854,Shadows of Forgotten Ancestors,Sergei Parajanov,,
tt0059592,7.7,24687,movie,Pierrot le Fou,Pierrot le fou,0,1965,\N,110,"Crime,Drama,Romance",nm0000419,"nm0286305,nm0000419,nm0925137",nm0000419,,nm0000419,Jean-Luc Godard,"director,writer,editor","tt0055572,tt0086153,tt0058898,tt0053472",22130,Pierrot le Fou (Pierrot Goes Wild) (Crazy Pete),Jean-Luc Godard,"Art House & International, Classics, Drama, Special Interest","Jan 8, 1969","Feb 19, 2008",,NR,110.0,Janus Films,Jean-Luc Godard,"After abandoning his wife and infant daughter for the new babysitter, a woman he'd loved and lost several years earlier, an errant husband embarks on a haphazard road to tragedy.",7.9/10,40.0,34.0,6.0,7.4/10,8.0,5.0,3.0,4.1/5,"9,716",Pierrot le Fou,Jean-Luc Godard,,
tt0067324,8.0,2167,movie,Land of Silence and Darkness,Land des Schweigens und der Dunkelheit,0,1971,\N,85,Documentary,nm0001348,nm0001348,nm0001348,,nm0001348,Werner Herzog,"director,writer,actor","tt0083946,tt0427312,tt0790724,tt0068182",19970,Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),Werner Herzog,"Art House & International, Documentary, Special Interest","Oct 8, 1973","Jul 5, 2005",,NR,81.0,Referat für Filmgeschichte,,"This moving documentary by director Werner Herzog (Fitzcarraldo, and Aguirre, the Wrath of God) enters into the world of Fini Strabinger of Bavaria, who is both deaf and blind. Fini has made a career of helping others who are similarly afflicted, teaching them sign language and taking them on field trips to gardens and touching zoos. Told in an unaffected, homey style, this film uses a minimum of narration as it movingly explores the lives of these people. One of the film's highlights is footage showing Fini's reactions to her first airplane flight.",8.2/10,6.0,5.0,1.0,,,,,4/5,"1,141",Land of Silence and Darkness,Werner Herzog,,
tt0083658,8.2,617241,movie,Blade Runner,Blade Runner,0,1982,\N,117,"Sci-Fi,Thriller",nm0000631,"nm0266684,nm0672459,nm0001140",nm0000631,,nm0000631,Ridley Scott,"producer,director,production_designer","tt3659388,tt0083658,tt0103074,tt0172495",771317022,Blade Runner (The Final Cut),Ridley Scott,"Drama, Science Fiction & Fantasy",,"Dec 17, 2007","$267,452",R (for violence and brief nudity),117.0,Warner Bros. Pictures,"Hampton Fancher, Darryl Ponicsan","Visually spectacular, intensely action-packed and powerfully prophetic since its debut, Blade Runner returns in Ridley Scott's definitive Final Cut, including extended scenes and never-before-seen special effects. In a signature role as 21st-century detective Rick Deckard, Harrison Ford brings his masculine-yet-vulnerable presence to this stylish noir thriller. In a future of high-tech possibility soured by urban and social decay, Deckard hunts for fugitive, murderous replicants - and is drawn to a mystery woman whose secrets may undermine his soul. This incredible version features the definitive Final Cut of Ridley Scott's legendary Sci-Fi classic.",9.6/10,11.0,10.0,1.0,,,,,4.4/5,"4,183",Blade Runner,Ridley Scott,,
tt0110200,7.6,20777,movie,Fist of Legend,Jing wu ying xiong,0,1994,\N,103,"Action,Drama,Thriller",nm0150906,"nm0150906,nm0948137",nm0150906,,nm0150906,Gordon Chan,"writer,producer,director","tt0100963,tt0288045,tt0157366,tt0440003",13351,Fist of Legend (Jing wu ying xiong),Gordon Chan,"Action & Adventure, Art House & International, Drama","Sep 1, 2008","Sep 9, 2008",,R (for some strong martial arts violence),103.0,Dimension Films,,"Jet Li stars in this historical Hong Kong action film, as Chen Zhen, a Chinese student in Japan in the 1920s. When his master is killed during the Japanese occupation of China, he returns to avenge his teacher's death. Back in China, he finds himself caught in the escalating racial tensions between the Chinese and the Japanese. The martial arts sequences in this 1994 film are handled more seriously than flashy acrobatics of other kung fu epics of the time and are perhaps a better showcase for Li's awe-inspiring fighting abilities. This story is inspired heavily by Bruce Lee's classic Fists of Fury. ~ Jonathan E. Laxamana, Rovi",7.9/10,11.0,11.0,0.0,,,,,3.8/5,"31,545",Fist of Legend,Gordon Chan,,
tt0222368,5.9,6671,movie,The Nameless,Los sin nombre,0,1999,\N,102,"Drama,Horror,Mystery",nm0049371,"nm0049371,nm0132793",nm0049371,,nm0049371,Jaume Balagueró,"writer,director,producer","tt1038988,tt0422272,tt0222368,tt1437358",15213,The Nameless (Los sin nombre),Jaume Balagueró,"Art House & International, Horror, Mystery & Suspense","Sep 9, 2005","Apr 26, 2005",,"R (for violence, disturbing images, graphic nudity and language)",102.0,Dimension Films,Jaume Balagueró,"Spanish director Jaime Balaguero brings us this jet-black horror thriller. Claudia (Emma Vilarasau) and Marc's beloved six-year-old daughter Angela dies under mysterious circumstances. Flash forward five years, and Marc has left while Claudia wiles away her time watching family videos of happier times. Angela suddenly inexplicably calls saying, ""They wanted you to believe I was dead."" Claudia immediately calls an ex-cop, Massera (Karra Elejalde), to investigate the matter. To make matters worse, Claudia finds herself stalked by psychotic ex-boyfriend Toni, who simply radiates evil. As the movie progresses, Massera and Quiroga (Tristan Ulloa), a journalist who works for a magazine specializing in the occult, uncover a bizarre sadistic cult that sacrifices children.",4.4/10,5.0,1.0,4.0,,,,,3.1/5,"2,384",The Nameless,Jaume Balagueró,,
tt0338095,6.8,62086,movie,High Tension,Haute tension,0,2003,\N,91,Horror,nm0014960,"nm0014960,nm0505183",nm0014960,,nm0014960,Alexandre Aja,"producer,director,writer","tt0338095,tt0454841,tt0464154,tt1528071",15470,High Tension (Switchblade Romance),Alexandre Aja,"Art House & International, Drama, Horror","Jun 10, 2005","Oct 11, 2005","$3,645,438","R (for graphic bloody killings, terror, sexual content and language.)",85.0,Lions Gate Films,"Alexandre Aja, Grégory Levasseur","French filmmaker Alexandre Aja writes and directs the slasher film Haute Tension, given the English title Switchblade Romance. Best friends Marie (Cécile De France) and Alex (Maïwenn Le Besco) go out to the countryside to visit Alex's parents. However, a homicidal delivery man (played by Philippe Nahon from Gaspar Noé's brutal movies) ends up at their house and starts killing everyone. Alex and Marie fight for their lives with help from several means of weaponry. Switchblade Romance was shown at the 2003 Toronto Film Festival as part of the Midnight program. The film was aquired by US distributor Lions Gate Films in 2004 and quickly put into turnaround as an NC-17 release, though plans for that were scrapped due to a lack of theater support of the controversial rating. Retitled High Tension, the R-rated version is missing one minute of grisly gore and features a redubbed audio track by star Cécile De France. ~ Andrea LeVasseur, Rovi",5.1/10,132.0,53.0,79.0,4.9/10,28.0,13.0,15.0,3.4/5,"48,508",High Tension,Alexandre Aja,,
tt0376177,6.9,1621,movie,Only Human,Seres queridos,0,2004,\N,93,"Comedy,Romance","nm0361828,nm0670808","nm0361828,nm0670808",nm0361828,nm0670808,nm0361828,Dominic Harari,"writer,director,miscellaneous","tt0395173,tt0376177,tt2364006",155655065,Only Human (Seres queridos),"Dominic Harari, Teresa Pelegri","Art House & International, Comedy, Television, Romance","Jun 16, 2006","Oct 17, 2006","$69,347","R (for some sexual content, nudity and language)",89.0,Magnolia Pictures,"Dominic Harari, Teresa Pelegri",Surgen locuras cuando una mujer (Marián Aguilera) invita a su novio palestino (Guillermo Toledo) a conocer a su familia judía.,6.5/10,52.0,37.0,15.0,6.4/10,22.0,15.0,7.0,3.7/5,"1,184",Only Human,Dominic Harari,Teresa Pelegri,
tt0386005,7.0,22617,movie,New Police Story,San ging chaat goo si,0,2004,\N,123,"Action,Crime,Drama",nm0150802,nm0950701,nm0150802,,nm0150802,Benny Chan,"director,producer,writer","tt1156506,tt2957774,tt0995739,tt0127357",21485,New Police Story (San ging chaat goo si),Benny Chan,"Action & Adventure, Art House & International, Drama","May 16, 2006","May 16, 2006",,R (for violence),123.0,Lionsgate,Alan Yuen,"A police officer has been disgraced in front of both the department and the entire city, and when the sadistic gang that wronged him attempts to cement their grip on the terrified community, the only man who can come to their aid is the one nobody believes in anymore as the long-running Police Story saga receives an exciting breath of fresh-air from director Benny Chan. Police Inspector Wing (Chan) used to be Hong Kong's top cop, but when his entire team is wiped out by a youthful group of cold-blooded bank robbers, Wing quickly falls into a deep depression. A year after everyone including Wing's fiancée has lost their faith in the fallen police inspector, Wing gets a second shot at glory when he is assigned an ambitious new partner and given the opportunity to bring the gang that nearly destroyed his life to justice.",5.3/10,8.0,4.0,4.0,,,,,3.6/5,"19,922",New Police Story,Benny Chan,,
