movie_id,title,directors_x,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,director_1,director_2,director_3,tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_y,writers,director1,nconst,primaryName,primaryProfession,knownForTitles
771420623,Uncertain,"Ewan McNicol, Anna Sandilands",Documentary,"Mar 9, 2017","Mar 17, 2017",,NR,81.0,Lucid Inc.,"Anna Sandilands, Ewan McNicol","Winner of Tribeca Film Festival's Albert Maysles Documentary Director Award, UNCERTAIN is a visually stunning and disarmingly funny portrait of the literal and figurative troubled waters of Uncertain, Texas. In a 94-resident town so tucked away ""you've got to be lost to find it"", three Uncertain men make their own bids for survival looking to find a more certain future. An ex-convict obsessed with Mr. Ed, a gigantic boar he hunts in order to stay on the straight and narrow. A young idealist with big plans but few prospects looking for a bigger life. And an aging fisherman learning to let go of his youthful ways, and making peace with a fateful moment thirty years ago. All the while Uncertain's vast, swampy lake is being choked by an aquatic weed, upsetting the natural balance and the town's only source of livelihood. From award-winning director's Ewan McNicol and Anna Sandilands, UNCERTAIN is an outstanding feature debut capturing a vivid cast of characters as compelling as any fiction.",7.8/10,21.0,21.0,0.0,8.4/10,8.0,8.0,0.0,3.9/5,373,Ewan McNicol,Anna Sandilands,,tt2630352,7.3,226,movie,Uncertain,Uncertain,0,2015,\N,82,"Comedy,Documentary,Drama","nm3263684,nm2012322","nm2012322,nm3263684",nm3263684,nm3263684,Anna Sandilands,"producer,director,writer","tt2630352,tt3135014,tt3135050,tt2413494"
771445916,Spin Out,"Tim Ferguson, Marc Gracie","Comedy, Romance",,"Feb 7, 2017",,R (for language including sexual references),92.0,Stella Rose Productions,"Tim Ferguson, Edwina Exton, Edwina Exton","Billy and Lucy have grown up together in a small, close-knit country town, where they form one of the town's most formidable Ute driving teams. When Billy takes one risky car stunt too far, Lucy declares she is moving to the city - sending Billy into a spin. Amid the mayhem of the town's annual ""Bachelors and Spinsters"" party, Billy only has one night to wake up to his true feelings for his best friend - or lose her forever. Spin Out is a fresh, feel-good comedy romance for the young and the young at heart.",3.7/10,8.0,1.0,7.0,,,,,3.1/5,37,Tim Ferguson,Marc Gracie,,tt4680568,4.6,457,movie,Spin Out,Spin Out,0,2016,\N,92,"Comedy,Drama,Romance","nm0333485,nm0272626","nm0264089,nm0272626",nm0333485,nm0333485,Marc Gracie,"producer,director,assistant_director","tt0099882,tt0235769,tt0846111,tt4680568"
771454909,The 24 Hour War,"Adam Carolla, Nate Adams",Documentary,,"Nov 22, 2016",,NR,98.0,,,"The Ford/Ferrari rivalry at Le Mans is one of the most famous in racing history. It started in 1963 when Henry Ford II tried to buy Ferrari to save the ailing Ford Motor Company, which was being crushed by GM and the Corvette on the track and at the dealerships. After months of negotiation, Enzo Ferrari said no, refusing to allow Ford to interfere with what he loved the most: racing. Henry Ford II was furious and vowed to build a racecar that would dethrone Ferrari.",7.6/10,6.0,6.0,0.0,,,,,4.2/5,322,Adam Carolla,Nate Adams,,tt4875844,7.3,702,movie,The 24 Hour War,The 24 Hour War,0,2016,\N,99,"Documentary,History","nm1969889,nm0004805",\N,nm1969889,nm1969889,Nate Adams,"producer,director,actor","tt6802306,tt3377996,tt3110770,tt4875844"
771447919,Amanda Knox,"Rod Blackhurst, Brian McGinn",Documentary,,"Sep 30, 2016",,NR,92.0,Netflix,,"Was she a cold-blooded psychopath who brutally murdered her roommate or a naive student abroad trapped in an endless nightmare? In the Netflix Original Documentary Amanda Knox, directors Rod Blackhurst (Tribeca Audience Award-winner Here Alone) and Brian McGinn (IDA Award-winner Chef's Table) and producer Mette Heide (Peabody Award-winner India's Daughter) explore the notorious case that made headlines around the world.",7.1/10,46.0,38.0,8.0,7.1/10,19.0,15.0,4.0,3.6/5,"1,125",Rod Blackhurst,Brian McGinn,,tt5952332,6.9,16194,movie,Amanda Knox,Amanda Knox,0,2016,\N,92,"Crime,Documentary","nm2770831,nm2060444","nm1510517,nm2770831",nm2770831,nm2770831,Brian McGinn,"producer,director,editor","tt4295140,tt4861558,tt5952332,tt7889220"
771497831,Reversing Roe,"Anne Sundberg, Ricki Stern",Documentary,,"Sep 13, 2018",,NR,99.0,Netflix,,"Forty-five years after it revolutionized abortion law in America, the landmark 1973 US Supreme Court case Roe v. Wade is once again at a crossroads. In their timely new documentary REVERSING ROE, filmmakers Ricki Stern and Annie Sundberg present a deeply illuminating look of the state of abortion and women's rights in America. The film offers candid and riveting interviews with key figures from both sides of the divide, Intense and unflinching in its commitment to telling the whole story, REVERSING ROE provides a gripping look at what's happening on the ground in 2018. Drawing from a wealth of historical footage, it charts the period leading up to the Roe decision-and documents the opposition that has followed ever since.",7.5/10,7.0,6.0,1.0,,,,,3.2/5,71,Anne Sundberg,Ricki Stern,,tt8948614,7.3,625,movie,Reversing Roe,Reversing Roe,0,2018,\N,99,Documentary,"nm0827830,nm0839064",\N,nm0827830,nm0827830,Ricki Stern,"producer,director,writer","tt0912580,tt1568150,tt4264754,tt0446055"
771486364,The Little Vampire 3D,"Richard Claus, Karsten Kiilerich","Action & Adventure, Animation, Art House & International, Comedy",,"Aug 28, 2018",,NR,82.0,,"Angela Sommer-Bodenburg, Larry Wilson, Richard Claus","THE LITTLE VAMPIRE, based on the characters from the bestselling novels by Angela Sommer-Bodenburg, tells the story of Rudolph, a thirteen year old vampire, whose clan is threatened by a notorious vampire hunter. He meets Tony, a mortal of the same age, who is fascinated by old castles, graveyards and - vampires. Tony helps Rudolph in an action and humor packed battle against their adversaries, together they save Rudolph's family and become friends.",3.8/10,14.0,2.0,12.0,,,,,3.2/5,82,Richard Claus,Karsten Kiilerich,,tt4729560,5.4,887,movie,The Little Vampire 3D,The Little Vampire 3D,0,2017,\N,83,"Adventure,Animation,Comedy","nm0478172,nm0165290","nm0165290,nm0814008,nm0933733",nm0478172,nm0478172,Karsten Kiilerich,"director,writer,animation_department","tt0189205,tt0396042,tt4144206,tt0168856"
771415594,Theory of Obscurity: A Film About the Residents,"Don Hardy Jr., Don Hardy",Documentary,,"Apr 19, 2016",,NR,87.0,DoF Media,Don Hardy Jr.,"Theory of Obscurity​: a film about The Residents ​tells the story of the renegade sound and video collective known as The Residents. A story that spans 40 years and is clouded in mystery. Many details surrounding the group are secret, including the identities of its members. They always perform wearing masks and costumes, which is part of their magic. (C) Official Site",6.8/10,8.0,6.0,2.0,,,,,3.1/5,97,Don Hardy Jr.,Don Hardy,,tt2833768,6.9,315,movie,Theory of Obscurity: A Film About the Residents,Theory of Obscurity: A Film About the Residents,0,2015,\N,87,"Documentary,Music",nm2274615,nm2274615,nm2274615,nm2274615,Don Hardy,"cinematographer,editor,director","tt3884528,tt1196112,tt1802529,tt2833768"
771385659,The White Haired Witch of Lunar Kingdom,"Zhang Zhiliang, Chi Leung 'Jacob' Cheung","Action & Adventure, Drama, Science Fiction & Fantasy",,"Mar 9, 2015",,NR,103.0,,Liang Yusheng,"Based on the classic martial arts novel by Liang Yusheng, it revolves around a pair of star-crossed lovers - a devilish outlaw and the righteous Taoist leader, and their love that could change the fate of the nation.",4.3/10,7.0,0.0,7.0,,,,,2.4/5,117,Zhang Zhiliang,Chi Leung 'Jacob' Cheung,,tt3465456,5.4,1396,movie,The White Haired Witch of Lunar Kingdom,Bai fa mo nu zhuan zhi ming yue tian guo,0,2014,\N,104,Fantasy,nm0156448,"nm2898643,nm7824762,nm1295635,nm7824765,nm7824763,nm7824764",nm0156448,nm0156448,Chi Leung 'Jacob' Cheung,"director,actor,producer","tt0485863,tt0096505,tt0107461,tt0097344"
771351199,The Color of Time,"Edna Luise Biesold, Sarah-Violet Bliss, Omar Zuniya Hidalgo, Brooke Goldfinch, Tine Thomasen, Pamela Romanowsky, Alexis Gambis, Virginia Urreiztieta, Gabrielle Demeestere, Shripriya Mahesh, Bruce Thierry Cheung, Shruti Ganguly","Drama, Special Interest","Dec 12, 2014","Jan 27, 2015",,"R (for some sexuality, nudity, language and drug use)",72.0,Starz Digital Media,"Omar Zuniya Hidalgo, Virginia Urreiztieta, Bruce Thierry Cheung, Tine Thomasen, Pamela Romanowsky, Edna Luise Biesold, Sarah-Violet Bliss, Gabrielle Demeestere, Alexis Gambis, Shruti Ganguly, Brooke Goldfinch, Shripriya Mahesh","James Franco, Mila Kunis, Jessica Chastain, and Zach Braff star in this dramatic and inventive look at the life and work of ionic Pulitzer Prize-winning poet C.K. Williams. Williams (Franco) has a beautiful, adoring wife (Kunis) and a young son. But as he prepares for a reading in New York City and struggles to create new work, he is haunted by memories of his past-from his first sexual encounter to a later tragic loss. An ensemble of 12 directors work with a star-studded cast to weave together this moving and unique story of a complex man and the relationships that defined him. (C) Starz",3.4/10,21.0,1.0,20.0,3.2/10,10.0,1.0,9.0,2.2/5,"1,138",Edna Luise Biesold,Sarah-Violet Bliss,Omar Zuniya Hidalgo,tt2133333,4.4,1189,movie,The Color of Time,The Color of Time,0,2012,\N,73,"Biography,Drama,Romance","nm3975695,nm1324730,nm3828653,nm4565085,nm3756711,nm2814914,nm2408871,nm4037285,nm3534186,nm3153375,nm0218289","nm3828653,nm3975695,nm0218289,nm3756711,nm1785879,nm3153375,nm3534186,nm2408871,nm2814914,nm4565085,nm4037285,nm0930199,nm1324730",nm3975695,nm3975695,Sarah-Violet Bliss,"writer,director,editor","tt2133333,tt1683986,tt3457734,tt5460226"
771368511,Saving Santa,"Leon Joosen, Aaron Seelman","Animation, Kids & Family",,"Oct 13, 2014",,NR,83.0,STARZ MEDIA LLC.,"Tony Nottage, Ricky Roxburgh","At the North Pole, a well-meaning but error-prone elf learns that Santa has a secret time machine built into his sleigh. Later, he must protect the machine from army commandos who want to use it for evil purposes.",4/10,5.0,1.0,4.0,,,,,3/5,409,Leon Joosen,Aaron Seelman,,tt2204315,5.5,1627,video,Saving Santa,Saving Santa,0,2013,\N,83,"Adventure,Animation,Comedy","nm2770803,nm0429749","nm3040949,nm4397360",nm2770803,nm2770803,Aaron Seelman,"editor,editorial_department,director","tt0762121,tt2630134,tt2204315,tt1728863"
