movie_id,title,directors_x,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,director_1,director_2,director_3,tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_y,writers,director1,nconst,primaryName,primaryProfession,knownForTitles
771484944,The Changeover,"Stuart McKenzie, Miranda Harcourt","Drama, Mystery & Suspense, Science Fiction & Fantasy","Feb 22, 2019","Feb 22, 2019",,NR,95.0,Vertical Entertainment,Stuart McKenzie,"Sixteen year-old Laura Chant (Erana James) lives with her mother and four-year-old brother Jacko (Benji Purchase) in a poor new suburb on the edge of a partially demolished Christchurch, New Zealand. Laura is drawn into a supernatural battle with an ancient spirit who attacks Jacko and slowly drains the life out of him as the spirit becomes ever younger. Laura discovers her true identity and the supernatural ability within her, and must harness it to save her brother's life.",6.8/10,22.0,17.0,5.0,0/10,5.0,3.0,2.0,4.2/5,187,Stuart McKenzie,Miranda Harcourt,,tt5699060,5.2,591,movie,The Changeover,The Changeover,0,2017,\N,95,Thriller,"nm1162597,nm0362005","nm0537271,nm1162597",nm1162597,nm1162597,Stuart McKenzie,"writer,director,producer","tt0382705,tt7318824,tt5699060,tt0317928"
771258859,A Fantastic Fear of Everything,"Crispian Mills, Chris Hopewell","Art House & International, Comedy","Feb 7, 2014","May 9, 2017",,R (for language),141.0,Cinedigm Entertainment,Crispian Mills,"Jack (Simon Pegg) is a children's author turned crime novelist whose detailed research into the lives of Victorian serial killers has turned him into a paranoid wreck, persecuted by an irrational fear of being murdered. When Jack is thrown a life-line by his long-suffering agent, and a mysterious Hollywood executive takes a sudden and inexplicable interest in Jack's script, what should be his 'big break' rapidly turns into his 'big breakdown' as Jack is forced to confront his worst fears; among them love, laundry and serial killers. (c) Official Facebook",4.3/10,32.0,11.0,21.0,3.3/10,6.0,0.0,6.0,2.9/5,"4,662",Crispian Mills,Chris Hopewell,,tt2006040,5.9,13126,movie,A Fantastic Fear of Everything,A Fantastic Fear of Everything,0,2012,\N,100,"Comedy,Horror","nm1553775,nm4577742",nm1553775,nm1553775,nm1553775,Crispian Mills,"soundtrack,writer,director","tt0483207,tt2006040,tt0131566,tt6905696"
771444105,We Go On,"Andy Mitton, Jesse Holland (II)",Drama,,"Apr 4, 2017",,NR,89.0,,Andy Mitton,"WE GO ON tells the story of one man's quest to find out if there is more out there after we die. Paralyzed by his fear of dying, Miles Grissom offers a cash reward to the first person who can show him a ghost, an angel, a demon anything that can prove that we go on after our deaths. He narrows the responses down to three viable candidates a scientist, a medium, and a worldly entrepreneur. Along with his fiercely protective mother, he embarks on an adventure that will spiral into an unthinkable nightmare.",7.5/10,6.0,6.0,0.0,,,,,3.2/5,137,Andy Mitton,Jesse Holland (II),,tt3904278,5.8,3088,movie,We Go On,We Go On,0,2016,\N,89,"Drama,Horror,Thriller","nm2347373,nm3016585","nm3016585,nm2347373",nm2347373,nm2347373,Andy Mitton,"writer,director,editor","tt3904278,tt5936492,tt1398428,tt2425886"
771442420,Left on Purpose,"Justin Schein, David Mehlman","Documentary, Drama","Feb 10, 2017","Feb 10, 2017",,NR,84.0,Shadowbox Films,,A documentary about the friendship between an aging antiwar activist who decides that he wants to take his own life and the filmmaker who struggles to tell the story.,6.8/10,8.0,7.0,1.0,,,,,4.7/5,78,Justin Schein,David Mehlman,,tt3733374,8.0,84,movie,Left on Purpose,Left on Purpose,0,2015,\N,85,"Biography,Documentary,Drama","nm1043655,nm0576439",\N,nm1043655,nm1043655,Justin Schein,"cinematographer,camera_department,director","tt1280011,tt0324924,tt7160782,tt3733374"
771456315,I Am Bolt,"Benjamin Turner, Gabe Turner",Documentary,,"Dec 6, 2016",,PG (for language and mild thematic elements),88.0,Fulwell 73 Productions,,"Benjamin and Gabe Turner directed this documentary look at the legacy of the fastest man ever timed, Jamaican sprinter Usain Bolt. Featuring interviews with famous athletes like Pelé, Neymar, and Serena Williams, the film examines multiple world-record holder Bolt's rise to dominance.",6.6/10,13.0,11.0,2.0,,,,,3.4/5,288,Benjamin Turner,Gabe Turner,,tt4647900,7.1,2652,movie,I Am Bolt,I Am Bolt,0,2016,\N,107,"Biography,Documentary,Sport","nm2564978,nm2543162",\N,nm2564978,nm2564978,Benjamin Turner,"producer,director,editor","tt4647900,tt4911876,tt3311384,tt1051231"
771447921,The Ivory Game,"Richard Ladkani, Kief Davidson",Documentary,,"Nov 4, 2016",,NR,112.0,Netflix,,"The Ivory Game is an epic documentary feature that goes undercover into the dark and sinister underbelly of ivory trafficking. Award-winning director Richard Ladkani and Academy Award-nominated director Kief Davidson filmed undercover for 16 months with a crack team of intelligence operatives, undercover activists, passionate frontline rangers and tough-as-nails conservationists, to infiltrate the corrupt global network of ivory trafficking. A production from Terra Mater Film Studios and Vulcan Productions, the film follows poachers in pursuit of the 'white gold' of ivory. Time is running out for the African elephants, dangerously nearing closer and closer to extinction.",7.5/10,20.0,16.0,4.0,7.1/10,10.0,8.0,2.0,3.7/5,373,Richard Ladkani,Kief Davidson,,tt5952266,7.9,2316,movie,The Ivory Game,The Ivory Game,0,2016,\N,112,Documentary,"nm1375566,nm0203400",\N,nm1375566,nm1375566,Richard Ladkani,"cinematographer,director,writer","tt0486531,tt5952266,tt0441001,tt9326056"
771435760,Audrie & Daisy,"Bonni Cohen, Jon Shenk",Documentary,,"Sep 23, 2016",,NR,95.0,Netflix,"Bonni Cohen, Jon Shenk","Audrie & Daisy is an urgent real-life drama that examines the ripple effects on families, friends, schools and communities when two underage young women find that sexual crimes against them have been caught on camera. From acclaimed filmmakers Bonni Cohen and Jon Shenk (The Island President, The Rape of Europa), Audrie & Daisy--which made its world premiere at the 2016 Sundance Film Festival--takes a hard look at America's teenagers who are coming of age in this new world of social media bullying, spun wildly out of control.",6.7/10,16.0,13.0,3.0,6.4/10,7.0,6.0,1.0,3.7/5,502,Bonni Cohen,Jon Shenk,,tt5278460,7.2,4408,movie,Audrie & Daisy,Audrie & Daisy,0,2016,\N,95,Documentary,"nm1010896,nm0791556",\N,nm1010896,nm1010896,Bonni Cohen,"producer,director,writer","tt5278460,tt6322922,tt0997088,tt0146386"
771489132,The Devil We Know,Stephanie Soechtig,Documentary,,"Oct 16, 2018",,NR,88.0,Atlas Films,Mark Monroe,Citizens in West Virginia battle a powerful corporation after learning that it has consciously been dumping a toxic chemical into the local water supply. Their investigation unearths that this chemical is actually found in the blood of 99.7% Americans.,7.8/10,6.0,6.0,0.0,,,,,4.2/5,104,Stephanie Soechtig,,,tt7689910,7.9,366,movie,The Devil We Know,The Devil We Know,0,2018,\N,95,\N,"nm3253001,nm2378257",\N,nm3253001,nm3253001,Stephanie Soechtig,"producer,director,writer","tt1344784,tt5275886,tt2381335,tt7689910"
771496042,Tales from the Hood 2,"Rusty Cundieff, Darin Scott",Horror,,"Oct 2, 2018",,R,111.0,Universal 1440 Entertainment,"Rusty Cundieff, Darin Scott","Mr. Simms returns to tell more eerie, unsettling tales involving dolls, psychics, possession and ghosts.",6.1/10,6.0,4.0,2.0,,,,,2.1/5,117,Rusty Cundieff,Darin Scott,,tt8403680,4.4,1074,video,Tales from the Hood 2,Tales from the Hood 2,0,2018,\N,111,"Comedy,Horror","nm0192090,nm0779011","nm0192090,nm0779011",nm0192090,nm0192090,Rusty Cundieff,"director,actor,producer","tt0106880,tt0353049,tt0114609,tt3733772"
771264446,Zarafa,"Rémi Bezançon, Jean-Christophe Lie","Animation, Kids & Family","Jul 3, 2015","Nov 10, 2015",,NR,78.0,GKIDS,"Rémi Bezançon, Alexander Abela","Under a baobab tree, an old man tells a story to the children around him: The story of the everlasting friendship between Maki, a little boy aged 10, and Zarafa, an orphaned giraffe, a gift from the Pasha of Egypt to the King of France, Charles X. Hassan, Prince of the Desert, is instructed by the Pasha to deliver Zarafa to France. But Maki has made up his mind to do everything in his power to stop Hassan from fulfilling his mission and to bring the giraffe back to its native land - even if it means risking his own life - because he must fulfill his promise to Zarafa's late mother. During an epic journey that takes them from Sudan to Paris, passing on the way through Alexandria, Marseille and the snow-capped Alps, they have many adventures, crossing paths with the aviator Malaterre, a pair of unusual twin cows called Mounh and Sounh, and the pirate queen Bouboulina.",6.8/10,19.0,15.0,4.0,4/10,6.0,4.0,2.0,3.5/5,502,Rémi Bezançon,Jean-Christophe Lie,,tt2077908,7.0,1337,movie,Zarafa,Zarafa,0,2012,\N,78,"Adventure,Animation,Family","nm1462495,nm1358030","nm0008499,nm1462495",nm1462495,nm1462495,Rémi Bezançon,"writer,director","tt2077908,tt1987018,tt0436546,tt0926759"
