,movie_id,title,directors,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,year
8,771484944,The Changeover,"Stuart McKenzie, Miranda Harcourt","Drama, Mystery & Suspense, Science Fiction & Fantasy","Feb 22, 2019","Feb 22, 2019",,NR,95.0,Vertical Entertainment,Stuart McKenzie,"Sixteen year-old Laura Chant (Erana James) lives with her mother and four-year-old brother Jacko (Benji Purchase) in a poor new suburb on the edge of a partially demolished Christchurch, New Zealand. Laura is drawn into a supernatural battle with an ancient spirit who attacks Jacko and slowly drains the life out of him as the spirit becomes ever younger. Laura discovers her true identity and the supernatural ability within her, and must harness it to save her brother's life.",6.8/10,22.0,17.0,5.0,0/10,5.0,3.0,2.0,4.2/5,187,2019
31,771503964,Paddleton,Alexandre Lehmann,Drama,nan,"Feb 22, 2019",,NR,89.0,Netflix,"Mark Duplass, Alexandre Lehmann",An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,7.3/10,28.0,25.0,3.0,7.4/10,10.0,8.0,2.0,4.5/5,115,nan
36,771455327,Letters From Baghdad,"Zeva Oelbaum, Sabine Krayenbühl",Documentary,"Jun 2, 2017","Feb 5, 2019","$331,623",NR,95.0,Between the Rivers Productions,,"Letters from Baghdad tells the extraordinary and dramatic story of Gertrude Bell, the most powerful woman in the British Empire in her day. She shaped the destiny of Iraq afer World War I in ways that still reverberate today. More influential than her friend and colleague Lawrence of Arabia, why has she been written out of the history she helped make?",6.9/10,35.0,29.0,6.0,7/10,14.0,10.0,4.0,3.6/5,858,2017
41,771485551,Rodents Of Unusual Size,"Quinn Costello, Chris Metzler, Jeff Springer",Documentary,"Sep 14, 2018","Feb 5, 2019",,NR,71.0,Tilapia Film,"Quinn Costello, Chris Metzler, Jeff Springer","Hard headed Louisiana fisherman Thomas Gonzales doesn't know what will hit him next. After decades of hurricanes and oil spills he faces a new threat - hordes of monstrous 20 pound swamp rats. Known as ""nutria"", these invasive South American rodents breed faster than the roving squads of hunters can control them. And with their orange teeth and voracious appetite they are eating up the coastal wetlands that protects Thomas and his town of Delacroix Island from hurricanes. But the people who have lived here for generations are not the type of folks who will give up without a fight. Thomas and a pack of lively bounty hunters are hellbent on saving Louisiana before it dissolves beneath their feet. It is man vs. rodent. May the best mammal win.",7.9/10,36.0,35.0,1.0,7.5/10,8.0,7.0,1.0,5/5,113,2018
53,771497682,The Golem,"Doron Paz, Yoav Paz",Horror,"Feb 1, 2019","Feb 5, 2019",,NR,95.0,Epic Pictures,Ariel Cohen,"During an outbreak of a deadly plague, a mystical woman must save her tight-knit Jewish community from foreign invaders, but the entity she conjures to protect them is a far greater evil.",7.1/10,17.0,16.0,1.0,,,,,3.4/5,106,2019
54,771497683,St. Agatha,,"Horror, Mystery & Suspense","Feb 8, 2019","Feb 8, 2019",,NR,90.0,Uncork'd Entertainment,"Shaun Fletcher, Sara Sometti Michaels, Clint Sears","It's the 1950's in small town Georgia, a pregnant con woman on the run seeks refuge in a convent hidden in deafening isolation. What first starts out as the perfect place to have a child turns into a dark layer where silence is forced, ghastly secrets are masked, and every bit of will power Agatha has is tested. She soon learns the sick and twisted truth of the convent and the Odd people that lurk inside its halls. Agatha must now find a way to discover the unyielding strength needed to escape and save her baby before she's caged behind these walls forever.",5.3/10,20.0,13.0,7.0,,,,,4.2/5,85,2019
61,771502995,A Violent Man,Matthew Berkowitz (III),"Drama, Mystery & Suspense","Feb 8, 2019","Feb 8, 2019",,NR,105.0,GVN Releasing,"Matthew Berkowitz (III) , Justin Steele","The contemporary noir film with a classic murder mystery spin is about an unknown MMA fighter (Jones), who beats the undefeated champion at a local gym. Overnight he becomes the underdog champion of the world with a title fight on the horizon, but when the female reporter covering the story is found dead, he becomes the murder suspect.",5.8/10,8.0,3.0,5.0,,,,,3.9/5,136,2019
77,771493441,All These Small Moments,Melissa B. Miller-Costanzo,Drama,"Jan 17, 2019","Jan 18, 2019",,NR,85.0,Orion Classics,Melissa B. Miller-Costanzo,"A teenage boy is caught between his parents' unhappy marriage and the two female friends who entrance him, and he must find his way to adulthood with only himself as a guide.",6.3/10,15.0,12.0,3.0,,,,,3.1/5,51,2019
94,771503985,Revenger,Lee Seung-won,"Action & Adventure, Drama",nan,"Jan 15, 2019",,NR,101.0,Netflix,"Bruce Khan, Ahn Seung-hwan",,4.5/10,5.0,2.0,3.0,,,,,3.4/5,24,nan
101,771485879,Far From The Tree,Rachel Dretzin,Documentary,"Jul 20, 2018","Jan 8, 2019",,NR,93.0,Sundance Selects,,"FAR FROM THE TREE follows families meeting extraordinary challenges through love, empathy, and understanding. This life-affirming documentary encourages us to cherish loved ones for all they are, not who they might have been. Based on Andrew Solomon's award-winning, critically acclaimed, New York Times bestselling non-fiction book ""Far From the Tree: Parents, Children and the Search for Identity.""",7.1/10,35.0,31.0,4.0,7.7/10,14.0,12.0,2.0,4.8/5,270,2018
127,771440296,Marie Curie: The Courage Of Knowledge,Marie Noelle,"Art House & International, Drama, Romance","Jun 30, 2017","Dec 11, 2018","$124,911",NR,100.0,Big World Pictures,"Andrea Stoll, Marie Noelle","In 1903 the scientist Marie Curie (Karolina Gruszka) was the first woman to receive the Nobel Prize for Physics together with her husband Pierre (Charles Berling). But only a short time later, with just mid-thirties and as a young mother of two children, she loses Pierre by accident. In a world dominated by men, she makes her way steadfastly, continues her research alone, and is the first woman to receive a chair at the Sorbonne in Paris. When she falls in love with the married scientist Paul Langevin (Arieh Worthalter) after years of mourning and engages in an affair with him, she is however a violent scandal. Just as soon as it becomes known that she is receiving her second Nobel Prize - now for chemistry - the Paris press publishes correspondence between Marie and Paul, who passed on his vindictive wife. In the full glow of her professional fame, the brilliant scientist Marie Curie is thus the target of bad defamation. To the banal adulteress, she must bitterly learn that reason and passion are not compatible.",5.3/10,23.0,14.0,9.0,4.5/10,9.0,6.0,3.0,3.4/5,"1,271",2017
167,771467610,Manifesto,Don DeLeon,"Art House & International, Drama","May 10, 2017","Sep 25, 2017","$161,101",NR,95.0,,,"From acclaimed visual artist Julian Rosefeldt, MANIFESTO features two-time Academy Award winner Cate Blanchett in 13 distinct, must-see vignettes that incorporate timeless manifestos from 20th century art movements. From anchorwoman to homeless man, from Pop Art to Dogma 95, a chameleonic Blanchett gives a tour-de-force performance as she transforms herself like never before. Rosefeldt weaves together history's most impassioned artistic statements in this stunning and contemporary call to action.",6.7/10,80.0,61.0,19.0,7.3/10,20.0,17.0,3.0,3.3/5,998,2017
191,771449600,Soul On A String,Zhang Yang,"Art House & International, Drama","May 19, 2017","Sep 12, 2017","$3,555",NR,142.0,,"Zhang Yang, Tashi Dawa","After discovering a sacred stone in the mouth of a deer he just killed, Taibei, a young lonesome Tibetan cowboy, embarks on a long and difficult mission: to bring it back to the holy mountain of Buddha's handprint. His journey turns sour as an obstinate woman, Joan, and a psychic yet dumb elf, Pu, soon decide to join him. Not to mention the two violent brothers on his tale, who are on a revenge quest.",7/10,9.0,8.0,1.0,,,,,3.3/5,36,2017
218,771439492,The Incomparable Rose Hartman,Øtis Mass,Documentary,"Jun 2, 2017","Aug 29, 2017",,NR,71.0,The Artists Company,,"You may not know her by name but you've seen her work. Starting with Studio 54 and moving forward into the New York celebrity fashion scene, Rose has photographed every major celebrity, fashion designer, artist, and socialite who has ever ventured out into the nightlife of NYC. Rose was one of the first photographers to capture the backstage environment of the fashion world and is known by the industry elite as the woman who takes a portrait that the subject would have taken themselves. The film follows Rose through her life of entrée as she put the lives of the glamorous and famous on film that serves as one of the few visual histories of NYC.",0/10,8.0,6.0,2.0,0/10,5.0,3.0,2.0,,25,2017
