all_reviewers_average,box_office,director_1,director_2,director_3,directors,full_synop,genre,movie_id,mpaa,num_all_fresh,num_all_reviewers,num_all_rotten,num_top_fresh,num_top_reviewers,num_top_rotten,num_users,runtime,simple_title,stream_date,studio,theater_date,title,top_reviewers_average,user_rating,writer,writer_1,writer_2,writer_3
6.9/10,"$331,623",Zeva Oelbaum,Sabine Krayenbühl,,"Zeva Oelbaum, Sabine Krayenbühl","Letters from Baghdad tells the extraordinary and dramatic story of Gertrude Bell, the most powerful woman in the British Empire in her day. She shaped the destiny of Iraq afer World War I in ways that still reverberate today. More influential than her friend and colleague Lawrence of Arabia, why has she been written out of the history she helped make?",Documentary,771455327,NR,29.0,35.0,6.0,10.0,14.0,4.0,858,95.0,Letters From Baghdad,"Feb 5, 2019",Between the Rivers Productions,"Jun 2, 2017",Letters From Baghdad,7/10,3.6/5,,,,
6.4/10,,Masaaki Yuasa,,,Masaaki Yuasa,"From visionary anime auteur Masaaki Yuasa, comes a joyously hallucinogenic but family-friendly take on the classic fairy tale about a little mermaid who comes ashore to join a middle-school rock band and propel them to fame. Kai is talented but adrift, spending his days sulking in a small fishing village after his family moves from Tokyo. His only joy is uploading songs he writes to the internet. When his classmates invite him to play keyboard in their band, their practice sessions bring an unexpected guest: Lu, a young mermaid whose fins turn to feet when she hears the beats, and whose singing causes humans to compulsively dance - whether they want to or not. As Kai spends more time with Lu, he finds he is able to tell her what he is really thinking, and a bond begins to form. But since ancient times, the people in the village have believed that mermaids bring disaster and soon there is trouble between Lu and the townspeople, putting the town in grave danger. Winner of the Grand Prize at the prestigious Annecy Animation Festival, and premiering in English as an official selection of Sundance 2018, Lu Over the Wall is a toe-tapping, feel-good demonstration of Yuasa's genre-mixing mastery that will leave you humming long after you leave the theater.","Animation, Anime & Manga, Art House & International, Comedy, Kids & Family",771473343,PG (for some peril and thematic elements),31.0,40.0,9.0,5.0,10.0,5.0,93,107.0,Lu Over the Wall,"Feb 5, 2019",GKIDS,"May 11, 2018",Lu Over the Wall (Yoake tsugeru Rû no uta),4.7/10,3.9/5,"Masaaki Yuasa, Reiko Yoshida",Masaaki Yuasa,Reiko Yoshida,
5.6/10,,Daniel Roby,,,Daniel Roby,"Mathieu (Romain Duris) and Anna (Olga Kurylenko) are desperately trying to save their daughter from a deadly toxic mist that has engulfed Paris. The city of lights is hit by an earthquake that fills the streets with a mysterious gas. Only those lucky enough to escape to the rooftops of the city were able to survive. Mathieu and Anna must face the fog if they have any hope of saving their daughter, who is trapped in a medical tank below.","Art House & International, Science Fiction & Fantasy",771492647,NR,5.0,10.0,5.0,,,,50,89.0,A Breath Away,"Feb 1, 2019",Gravitas Ventures,"Feb 1, 2019",A Breath Away (Dans la brume),,3.1/5,"Mathieu Delozier, Guillaume Lemans",Mathieu Delozier,Guillaume Lemans,
7.1/10,,Sacha Gervasi,,,Sacha Gervasi,"Inspired by a real story, MY DINNER WITH HERVE explores the unlikely friendship between struggling journalist Danny Tate (Dornan) and Hervé Villechaize (Dinklage), the world's most famous knife-wielding French dwarf actor, as it unfolds over one wild night in LA - an encounter that will have life-changing consequences for both.","Drama, Television",771497541,NR,19.0,23.0,4.0,8.0,12.0,4.0,573,106.0,My Dinner with Hervé,"Feb 5, 2019",,,My Dinner with Hervé,6.1/10,4.2/5,Sacha Gervasi,Sacha Gervasi,,
5.8/10,,Matthew Berkowitz (III),,,Matthew Berkowitz (III),"The contemporary noir film with a classic murder mystery spin is about an unknown MMA fighter (Jones), who beats the undefeated champion at a local gym. Overnight he becomes the underdog champion of the world with a title fight on the horizon, but when the female reporter covering the story is found dead, he becomes the murder suspect.","Drama, Mystery & Suspense",771502995,NR,3.0,8.0,5.0,,,,136,105.0,A Violent Man,"Feb 8, 2019",GVN Releasing,"Feb 8, 2019",A Violent Man,,3.9/5,"Matthew Berkowitz (III) , Justin Steele",Matthew Berkowitz (III) ,Justin Steele,
6/10,,,,,,"23 years after his last stand-up special, comedian, screenwriter, and Emmy Award-winning actor Ray Romano debuts his first Netflix comedy special, Ray Romano: Right Here, Around the Corner. Performing two sets on the same night - one at Manhattan's Comedy Cellar and the second at the Village Underground, literally around the corner - Romano advises on choosing friends, surviving marriage, and knowing the difference between being old and not being young.",Comedy,771504916,NR,3.0,5.0,2.0,,,,24,,"Ray Romano: Right Here, Around the Corner","Feb 5, 2019",Netflix,,"Ray Romano: Right Here, Around the Corner",,3.4/5,Ray Romano,Ray Romano,,
7.1/10,,Sam Liu,,,Sam Liu,"This action-packed event will include two features, audiences will first see The Death of Superman followed by the brand-new release of the sequel Reign of the Supermen for a gripping conclusion to The Death of Superman Saga. Reign of the Supermen -- It's been months since the unfathomable death of Superman, and the world is still shaken when four Super Heroes arrive in Metropolis, all battling to be the reincarnation of the Man of Steel. Even Metropolis isn't big enough for these brawlers, it's only a matter of time until dark forces make their moves from the shadows... The Death of Superman -- An asteroid hurtles through our atmosphere and with it arrives an unstoppable force known only as Doomsday. With innocent lives threatened and Metropolis under attack, the Justice League rally to meet this otherworldly menace. But when the dust settles, only an epic showdown between Superman and Doomsday can decide the fate of Metropolis and ultimately, planet Earth!",Special Interest,771500241,PG-13,13.0,14.0,1.0,,,,140,165.0,The Death of Superman / Reign of the Supermen Double Feature,"Jan 29, 2019",DC Entertainment,"Jan 13, 2019",The Death of Superman / Reign of the Supermen Double Feature,,3.8/5,"Jon Bogdanove, Jim Krieg, Tim Sheridan",Jon Bogdanove,Jim Krieg,Tim Sheridan
6.8/10,,Michael Franti,,,Michael Franti,"Award-winning musician Michael Franti takes us on a personal journey where he meets extraordinary humans who inspire him to overcome cynicism with optimism in today's challenging times and STAY HUMAN. Featuring new music from Franti's tenth studio album, ""Stay Human Vol. II.""",Documentary,771503236,NR,10.0,11.0,1.0,,,,32,95.0,Stay Human,"Jan 25, 2019",,,Stay Human,,4.9/5,Michael Franti,Michael Franti,,
4.5/10,,Lee Seung-won,,,Lee Seung-won,,"Action & Adventure, Drama",771503985,NR,2.0,5.0,3.0,,,,24,101.0,Revenger,"Jan 15, 2019",Netflix,,Revenger,,3.4/5,"Bruce Khan, Ahn Seung-hwan",Bruce Khan,Ahn Seung-hwan,
7.1/10,,Rachel Dretzin,,,Rachel Dretzin,"FAR FROM THE TREE follows families meeting extraordinary challenges through love, empathy, and understanding. This life-affirming documentary encourages us to cherish loved ones for all they are, not who they might have been. Based on Andrew Solomon's award-winning, critically acclaimed, New York Times bestselling non-fiction book ""Far From the Tree: Parents, Children and the Search for Identity.""",Documentary,771485879,NR,31.0,35.0,4.0,12.0,14.0,2.0,270,93.0,Far From the Tree,"Jan 8, 2019",Sundance Selects,"Jul 20, 2018",Far From the Tree,7.7/10,4.8/5,,,,
