movie_id,title,directors,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users
771455327,Letters From Baghdad,"Zeva Oelbaum, Sabine Krayenbühl",Documentary,"Jun 2, 2017","Feb 5, 2019","$331,623",NR,95.0,Between the Rivers Productions,,"Letters from Baghdad tells the extraordinary and dramatic story of Gertrude Bell, the most powerful woman in the British Empire in her day. She shaped the destiny of Iraq afer World War I in ways that still reverberate today. More influential than her friend and colleague Lawrence of Arabia, why has she been written out of the history she helped make?",6.9/10,35.0,29.0,6.0,7/10,14.0,10.0,4.0,3.6/5,858
771473343,Lu Over the Wall (Yoake tsugeru Rû no uta),Masaaki Yuasa,"Animation, Anime & Manga, Art House & International, Comedy, Kids & Family","May 11, 2018","Feb 5, 2019",,PG (for some peril and thematic elements),107.0,GKIDS,"Masaaki Yuasa, Reiko Yoshida","From visionary anime auteur Masaaki Yuasa, comes a joyously hallucinogenic but family-friendly take on the classic fairy tale about a little mermaid who comes ashore to join a middle-school rock band and propel them to fame. Kai is talented but adrift, spending his days sulking in a small fishing village after his family moves from Tokyo. His only joy is uploading songs he writes to the internet. When his classmates invite him to play keyboard in their band, their practice sessions bring an unexpected guest: Lu, a young mermaid whose fins turn to feet when she hears the beats, and whose singing causes humans to compulsively dance - whether they want to or not. As Kai spends more time with Lu, he finds he is able to tell her what he is really thinking, and a bond begins to form. But since ancient times, the people in the village have believed that mermaids bring disaster and soon there is trouble between Lu and the townspeople, putting the town in grave danger. Winner of the Grand Prize at the prestigious Annecy Animation Festival, and premiering in English as an official selection of Sundance 2018, Lu Over the Wall is a toe-tapping, feel-good demonstration of Yuasa's genre-mixing mastery that will leave you humming long after you leave the theater.",6.4/10,40.0,31.0,9.0,4.7/10,10.0,5.0,5.0,3.9/5,93
771492647,A Breath Away (Dans la brume),Daniel Roby,"Art House & International, Science Fiction & Fantasy","Feb 1, 2019","Feb 1, 2019",,NR,89.0,Gravitas Ventures,"Mathieu Delozier, Guillaume Lemans","Mathieu (Romain Duris) and Anna (Olga Kurylenko) are desperately trying to save their daughter from a deadly toxic mist that has engulfed Paris. The city of lights is hit by an earthquake that fills the streets with a mysterious gas. Only those lucky enough to escape to the rooftops of the city were able to survive. Mathieu and Anna must face the fog if they have any hope of saving their daughter, who is trapped in a medical tank below.",5.6/10,10.0,5.0,5.0,,,,,3.1/5,50
771497541,My Dinner with Hervé,Sacha Gervasi,"Drama, Television",,"Feb 5, 2019",,NR,106.0,,Sacha Gervasi,"Inspired by a real story, MY DINNER WITH HERVE explores the unlikely friendship between struggling journalist Danny Tate (Dornan) and Hervé Villechaize (Dinklage), the world's most famous knife-wielding French dwarf actor, as it unfolds over one wild night in LA - an encounter that will have life-changing consequences for both.",7.1/10,23.0,19.0,4.0,6.1/10,12.0,8.0,4.0,4.2/5,573
771502995,A Violent Man,Matthew Berkowitz (III),"Drama, Mystery & Suspense","Feb 8, 2019","Feb 8, 2019",,NR,105.0,GVN Releasing,"Matthew Berkowitz (III) , Justin Steele","The contemporary noir film with a classic murder mystery spin is about an unknown MMA fighter (Jones), who beats the undefeated champion at a local gym. Overnight he becomes the underdog champion of the world with a title fight on the horizon, but when the female reporter covering the story is found dead, he becomes the murder suspect.",5.8/10,8.0,3.0,5.0,,,,,3.9/5,136
771504916,"Ray Romano: Right Here, Around the Corner",,Comedy,,"Feb 5, 2019",,NR,,Netflix,Ray Romano,"23 years after his last stand-up special, comedian, screenwriter, and Emmy Award-winning actor Ray Romano debuts his first Netflix comedy special, Ray Romano: Right Here, Around the Corner. Performing two sets on the same night - one at Manhattan's Comedy Cellar and the second at the Village Underground, literally around the corner - Romano advises on choosing friends, surviving marriage, and knowing the difference between being old and not being young.",6/10,5.0,3.0,2.0,,,,,3.4/5,24
771500241,The Death of Superman / Reign of the Supermen Double Feature,Sam Liu,Special Interest,"Jan 13, 2019","Jan 29, 2019",,PG-13,165.0,DC Entertainment,"Jon Bogdanove, Jim Krieg, Tim Sheridan","This action-packed event will include two features, audiences will first see The Death of Superman followed by the brand-new release of the sequel Reign of the Supermen for a gripping conclusion to The Death of Superman Saga. Reign of the Supermen -- It's been months since the unfathomable death of Superman, and the world is still shaken when four Super Heroes arrive in Metropolis, all battling to be the reincarnation of the Man of Steel. Even Metropolis isn't big enough for these brawlers, it's only a matter of time until dark forces make their moves from the shadows... The Death of Superman -- An asteroid hurtles through our atmosphere and with it arrives an unstoppable force known only as Doomsday. With innocent lives threatened and Metropolis under attack, the Justice League rally to meet this otherworldly menace. But when the dust settles, only an epic showdown between Superman and Doomsday can decide the fate of Metropolis and ultimately, planet Earth!",7.1/10,14.0,13.0,1.0,,,,,3.8/5,140
771503236,Stay Human,Michael Franti,Documentary,,"Jan 25, 2019",,NR,95.0,,Michael Franti,"Award-winning musician Michael Franti takes us on a personal journey where he meets extraordinary humans who inspire him to overcome cynicism with optimism in today's challenging times and STAY HUMAN. Featuring new music from Franti's tenth studio album, ""Stay Human Vol. II.""",6.8/10,11.0,10.0,1.0,,,,,4.9/5,32
771503985,Revenger,Lee Seung-won,"Action & Adventure, Drama",,"Jan 15, 2019",,NR,101.0,Netflix,"Bruce Khan, Ahn Seung-hwan",,4.5/10,5.0,2.0,3.0,,,,,3.4/5,24
771485879,Far From the Tree,Rachel Dretzin,Documentary,"Jul 20, 2018","Jan 8, 2019",,NR,93.0,Sundance Selects,,"FAR FROM THE TREE follows families meeting extraordinary challenges through love, empathy, and understanding. This life-affirming documentary encourages us to cherish loved ones for all they are, not who they might have been. Based on Andrew Solomon's award-winning, critically acclaimed, New York Times bestselling non-fiction book ""Far From the Tree: Parents, Children and the Search for Identity.""",7.1/10,35.0,31.0,4.0,7.7/10,14.0,12.0,2.0,4.8/5,270
771486821,The Last Suit (El último traje),Pablo Solarz,"Art House & International, Drama","Sep 21, 2018","Jan 15, 2019",,NR,92.0,Outsider Pictures,Pablo Solarz,"Abraham Bursztein, an 88 year-old Jewish tailor, runs away from Buenos Aires to Poland, where he proposes to find a friend who saved him from certain death at the end of World War II. After seven decades without any contact with him, Abraham will try to find his old friend and keep his promise to return one day. Comedic and poignant in equal measure, The Last Suit approaches its weighty themes with a light touch that illuminates a serious story.",7.1/10,23.0,18.0,5.0,8.8/10,6.0,5.0,1.0,4.1/5,95
771493454,Tea With the Dames (Nothing Like a Dame),Roger Michell,Documentary,"Sep 21, 2018","Jan 15, 2019",,NR,94.0,,,"What happens when four legends of British stage and screen get together? Dame Maggie Smith, Dame Judi Dench, Dame Eileen Atkins, and Dame Joan Plowright are among the most celebrated actresses of our time, with scores of iconic performances, decades of wisdom, and innumerable Oscars, Tonys, Emmys, and BAFTAs between them. They are also longtime friends who hereby invite you to join them for a weekend in the country as they catch up with one another, reminisce, and share their candid, delightfully irreverent thoughts on everything from art to aging to love to a life lived in the spotlight. Bursting with devilish wit and whip-smart insights, Tea With The Dames is a remarkable opportunity to spend time in the company of four all-time greats--up close and unfiltered.",7.9/10,79.0,78.0,1.0,8.6/10,16.0,16.0,0.0,3.9/5,523
771496072,Alone (Solo),Hugo Stuven,"Action & Adventure, Art House & International, Drama, Romance",,"Jan 11, 2019",,NR,91.0,,Hugo Stuven,"In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events.",5.6/10,8.0,6.0,2.0,,,,,3.4/5,13
771498881,The Bouncer (Lukas),Julien Leclercq,"Action & Adventure, Drama","Jan 11, 2019","Jan 11, 2019",,"R (for violence, language and brief nudity/sexuality.)",82.0,Blue Fox Entertainment,Jérémie Guez,"After an altercation forces a bodyguard into jail, he is forced to collaborate with the police. His mission: infiltrate the organization of a dangerous Flemish gang leader to secure his freedom and custody of his 8 year old daughter.",5.4/10,5.0,4.0,1.0,,,,,3.9/5,41
771499156,Once Upon a Deadpool,David Leitch,"Action & Adventure, Comedy","Dec 12, 2018","Jan 15, 2019",,"PG-13 (for intense sequences of violence and action, crude sexual content, language, thematic elements and brief drug material)",116.0,20th Century Fox,"Rhett Reese, Paul Wernick, Ryan Reynolds","""Fox has been asking for a PG-13 basically since the start in 2006,"" Ryan Reynolds told Deadline. ""I've said no since 2006. Now, this one time, I said 'Yes' on two conditions. First, a portion of the proceeds had to go to charity. Second, I wanted to kidnap Fred Savage. The second condition took some explaining...""Fred Savage will join Reynolds in new scenes for ONCE UPON A DEADPOOL in an homage to Savage's starring role in the 1987 bedtime-story classic THE PRINCESS BRIDE. Fred remarked, ""while my participation in this film was anything but voluntary, I am happy to learn that Fudge Cancer will be the beneficiary of this shameless cash grab""",5.8/10,51.0,27.0,24.0,6.1/10,9.0,5.0,4.0,3.1/5,925
771484834,Memoir of War (La douleur),Emmanuel Finkiel,"Art House & International, Drama","Aug 17, 2018","Dec 18, 2018",,NR,126.0,Music Box Films,Emmanuel Finkiel,"It's 1944, and Duras is an active Resistance member along with her husband, writer Robert Antelme, and a band of fellow subversives in Nazi-occupied Paris. When Antelme is deported to Dachau by the Gestapo, she becomes friendly with French collaborator Rabier (Benoît Magimel) to gain information at considerable risk to her underground cell. But as the months wear on without news of her husband, she must begin the process of confronting the unimaginable. Through subtly expressionistic images and voiceover passages of Duras' writing, Finkiel evokes the inner world of one of the 20th century's most revolutionary writers.",6.6/10,30.0,18.0,12.0,7.4/10,10.0,5.0,5.0,3.2/5,40
