771429794|London Fields|Mathew Cullen|Mystery & Suspense|Oct 26, 2018|Feb 12, 2019||R (for language including sexual references and brief nudity)|108|20th Century Fox|Mathew Cullen, Roberta Hanley|Recently arrived in London in the hope of writing one last book before succumbing to a fatal illness, American author Samson Young (Billy Bob Thornton) falls in with a cast of characters who just might give him the story he is looking for. First, there is Keith Talent (Jim Sturgess) a small- time crook and dart player always on the lookout for his next scam. Then there's Guy Clinch (Theo James), an upper class banker who hangs out at Ned's favorite pub, searching for distraction from his boring life, his spoiled wife, and their monstrous toddler. And, just like a scene from a movie, into their lives walks Nicola Six (Amber Heard), a spectacularly beautiful woman-of-mystery who instantly ensnares all three men with her charms. Of course, Ned and Keith want to possess her, but Sam sees something else-in Nicola he sees the heroine of the book he so desperately wants to write. Following her, studying her, and watching her become a different woman depending upon which man she is seducing, Sam starts weaving a tale, based on Nicola, or Nicola as he imagines her to be. He also discovers that the reason she lives like there's no tomorrow, is that she's fed up with her life and has secretly been plotting her own murder. Now that Sam knows the climax of his story, the only question is who will the murderer be? Is it Keith, the criminal, Guy, the millionaire, or is it Sam himself-a dying man practicing a dying art, who will do anything to end his book-and his life-with a big bang?|2.6/10|34|0|34|2.1/10|7|0|7|3.4/5|294
771437786|A Star Is Born|Bradley Cooper|Drama|Oct 5, 2018|Feb 19, 2019||R (for language throughout, some sexuality/nudity and substance abuse)|135|Warner Bros. Pictures|Will Fetters, Eric Roth, Bradley Cooper|"In ""A Star Is Born,"" Bradley Cooper and Lady Gaga fuse their considerable talents to depict the raw and passionate tale of Jack and Ally, two artistic souls coming together, on stage and in life. Theirs is a complex journey through the beauty and the heartbreak of a relationship struggling to survive. In this new take on the iconic love story, four-time Oscar nominee Cooper (""American Sniper,"" ""American Hustle,"" ""Silver Linings Playbook""), makes his directorial debut, and also stars alongside multiple award-winning, Oscar-nominated music superstar Gaga in her first leading role in a major motion picture. Cooper portrays seasoned musician Jackson Maine, who discovers and falls in love with struggling artist Ally. She has given up on her dream to become a successful singer, until she meets Jack, who immediately sees her natural talent."|8.1/10|460|412|48|8.4/10|51|49|2|4.1/5|16,950
771446042|Ralph Breaks the Internet|Phil Johnston, Rich Moore|Animation, Comedy, Kids & Family, Science Fiction & Fantasy|Nov 21, 2018|Feb 12, 2019||PG (for some action and rude humor)|114|Walt Disney Animation Studios|Phil Johnston, Pamela Ribon|"In ""Ralph Breaks the Internet,"" video-game bad guy Ralph (voice of John C. Reilly) and best friend Vanellope von Schweetz (voice of Sarah Silverman) leave the comforts of Litwak's arcade in an attempt to save her game, Sugar Rush. Their quest takes them to the vast, uncharted world of the internet where they rely on the citizens of the internet--the Netizens--to help navigate their way. Lending a virtual hand are Yesss (voice of Taraji P. Henson), the head algorithm and the heart and soul of the trend-making site ""BuzzzTube,"" and Shank (voice of Gal Gadot), a tough-as-nails driver from a gritty online auto-racing game called Slaughter Race, a place Vanellope wholeheartedly embraces--so much so that Ralph worries he may lose the only friend he's ever had."|7.3/10|238|210|28|7.1/10|37|31|6|3.6/5|6,512
771456874|Bohemian Rhapsody|Bryan Singer|Drama|Nov 2, 2018|Feb 12, 2019|$89,604|PG-13 (for thematic elements,suggestive material, drug content and language)|134|20th Century Fox|Anthony McCarten|Bohemian Rhapsody is a foot-stomping celebration of Queen, their music and their extraordinary lead singer Freddie Mercury, who defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet. The film traces the meteoric rise of the band through their iconic songs and revolutionary sound, their near-implosion as Mercury's lifestyle spirals out of control, and their triumphant reunion on the eve of Live Aid, where Mercury, facing a life-threatening illness, leads the band in one of the greatest performances in the history of rock music. In the process, cementing the legacy of a band that were always more like a family, and who continue to inspire outsiders, dreamers and music lovers to this day.|6.1/10|360|220|140|5.4/10|36|17|19|4.4/5|19,265
771457751|Mortal Engines|Christian Rivers|Action & Adventure, Science Fiction & Fantasy|Dec 14, 2018|Feb 19, 2019||PG-13 (for sequences of futuristic violence and action)|111|Universal Pictures|Peter Jackson, Philippa Boyens, Fran Walsh|Hundreds of years after civilization was destroyed by a cataclysmic event, a mysterious young woman, Hester Shaw (Hera Hilmar), emerges as the only one who can stop London -- now a giant, predator city on wheels -- from devouring everything in its path. Feral, and fiercely driven by the memory of her mother, Hester joins forces with Tom Natsworthy (Robert Sheehan), an outcast from London, along with Anna Fang (Jihae), a dangerous outlaw with a bounty on her head.|4.9/10|170|45|125|4.8/10|28|8|20|3.3/5|2,780
771458899|The Possession of Hannah Grace|Diederik Van Rooijen|Horror, Mystery & Suspense|Nov 30, 2018|Feb 19, 2019||R (for gruesome images and terror throughout)||Screen Gems|Brian Sieve|A shocking exorcism spirals out of control, claiming the life of a young woman. Months later, Megan Reed (Shay Mitchell) is working the graveyard shift in the morgue when she takes delivery of a disfigured cadaver. Locked alone inside the basement corridors, Megan begins to experience horrifying visions and starts to suspect that the body may be possessed by a ruthless demonic force.|4.1/10|48|8|40|3.3/10|7|1|6|2.4/5|549
771475936|Mary Queen of Scots|Josie Rourke|Drama|Dec 7, 2018|Feb 19, 2019||NR (for some violence and sexuality)|112|Focus Features|Beau Willimon|"""Mary Queen of Scots"" explores the turbulent life of the charismatic Mary Stuart (Ronan). Queen of France at 16 and widowed at 18, Mary defies pressure to remarry. Instead, she returns to her native Scotland to reclaim her rightful throne. But Scotland and England fall under the rule of the compelling Elizabeth I (Robbie). Each young Queen beholds her ""sister"" in fear and fascination. Rivals in power and in love, and female regents in a masculine world, the two must decide how to play the game of marriage versus independence. Determined to rule as much more than a figurehead, Mary asserts her claim to the English throne, threatening Elizabeth's sovereignty. Betrayal, rebellion, and conspiracies within each court imperil both thrones - and change the course of history."|6.2/10|240|149|91|6.1/10|42|21|21|3/5|1,872
771476083|Anna and the Apocalypse|John McPhail|Comedy, Horror, Musical & Performing Arts|Nov 30, 2018|Feb 12, 2019||R (for zombie violence and gore, language, and some sexual material)|92|Orion Pictures|Alan McDonald, Ryan McHenry|A zombie apocalypse threatens the sleepy town of Little Haven -- at Christmas -- forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other...|6.7/10|110|85|25|7.2/10|19|16|3|3.7/5|740
771484944|The Changeover|Stuart McKenzie, Miranda Harcourt|Drama, Mystery & Suspense, Science Fiction & Fantasy|Feb 22, 2019|Feb 22, 2019||NR|95|Vertical Entertainment|Stuart McKenzie|Sixteen year-old Laura Chant (Erana James) lives with her mother and four-year-old brother Jacko (Benji Purchase) in a poor new suburb on the edge of a partially demolished Christchurch, New Zealand. Laura is drawn into a supernatural battle with an ancient spirit who attacks Jacko and slowly drains the life out of him as the spirit becomes ever younger. Laura discovers her true identity and the supernatural ability within her, and must harness it to save her brother's life.|6.8/10|22|17|5|0/10|5|3|2|4.2/5|187
771486235|Maria By Callas|Tom Volf|Documentary|Nov 2, 2018|Feb 12, 2019||PG (for mild thematic elements, some smoking and brief language)|95|Sony Pictures Classics|Tom Volf|Tom Volf's MARIA BY CALLAS is the first film to tell the life story of the legendary Greek/American opera singer completely in her own words. Told through performances, TV interviews, home movies, family photographs, private letters and unpublished memoirs-nearly all of which have never been shown to the public-the film reveals the essence of an extraordinary woman who rose from humble beginnings in New York City to become a glamorous international superstar and one of the greatest artists of all time. Assembling the material for the film took director Volf four years of painstaking research, which included personal outreach to dozens of Callas's closest friends and associates, who allowed him to share their personal memorabilia in the film. When recordings of Callas's voice aren't available, Joyce DiDonato, one of contemporary opera's biggest stars, reads her words.|7/10|61|55|6|7.3/10|13|13|0|4.1/5|200
