year,category,actor/actress,winner,movie
1927,BEST ACTOR,Emil Jannings,True,The Last CommandThe Way of All Flesh
1927,BEST ACTOR,Richard Barthelmess,False,The NooseThe Patent Leather Kid
1928,BEST ACTOR,Warner Baxter ,True,In Old Arizona
1928,BEST ACTOR,George Bancroft,False,Thunderbolt
1928,BEST ACTOR,Chester Morris,False,Alibi
1928,BEST ACTOR,Paul Muni,False,The Valiant
1928,BEST ACTOR,Lewis Stone,False,The Patriot
1929,BEST ACTOR,George Arliss,True,Disraeli
1929,BEST ACTOR,George Arliss,False,The Green Goddess
1929,BEST ACTOR,Wallace Beery,False,The Big House
1929,BEST ACTOR,Maurice Chevalier,False,The Big Pond  The Love Parade
1929,BEST ACTOR,Ronald Colman,False,Bulldog Drummond  Condemned
1929,BEST ACTOR,Lawrence Tibbett,False,The Rogue Song
1930,BEST ACTOR,Lionel Barrymore,True,A Free Soul
1930,BEST ACTOR,Jackie Cooper,False,Skippy
1930,BEST ACTOR,Richard Dix,False,Cimarron
1930,BEST ACTOR,Fredric March,False,The Royal Family of Broadway
1930,BEST ACTOR,Adolphe Menjou,False,The Front Page
1931,BEST ACTOR,Wallace Beery,True,The Champ
1931,BEST ACTOR,Fredric March,True,Dr. Jekyll and Mr. Hyde
1931,BEST ACTOR,Alfred Lunt,False,The Guardsman
1932,BEST ACTOR,Charles Laughton ,True,The Private Life of Henry VIII
1932,BEST ACTOR,Leslie Howard,False,Berkeley Square
1932,BEST ACTOR,Paul Muni,False,I Am a Fugitive from a Chain Gang
1934,BEST ACTOR,Clark Gable,True,It Happened One Night
1934,BEST ACTOR,Frank Morgan,False,The Affairs of Cellini
1934,BEST ACTOR,William Powell,False,The Thin Man
1935,BEST ACTOR,Victor McLaglen ,True,The Informer
1935,BEST ACTOR,Clark Gable,False,Mutiny on the Bounty
1935,BEST ACTOR,Charles Laughton,False,Mutiny on the Bounty
1935,BEST ACTOR,Paul Muni,False,Black Fury
1935,BEST ACTOR,Franchot Tone,False,Mutiny on the Bounty
1936,BEST ACTOR,Paul Muni ,True,The Story of Louis Pasteur
1936,BEST ACTOR,Gary Cooper,False,Mr. Deeds Goes to Town
1936,BEST ACTOR,Walter Huston,False,Dodsworth
1936,BEST ACTOR,William Powell,False,My Man Godfrey
1936,BEST ACTOR,Spencer Tracy,False,San Francisco
1937,BEST ACTOR,Spencer Tracy ,True,Captains Courageous
1937,BEST ACTOR,Charles Boyer,False,Conquest
1937,BEST ACTOR,Fredric March,False,A Star Is Born
1937,BEST ACTOR,Robert Montgomery,False,Night Must Fall
1937,BEST ACTOR,Paul Muni,False,The Life of Emile Zola
1938,BEST ACTOR,Spencer Tracy ,True,Boys Town
1938,BEST ACTOR,Charles Boyer,False,Algiers
1938,BEST ACTOR,James Cagney,False,Angels with Dirty Faces
1938,BEST ACTOR,Robert Donat,False,The Citadel
1938,BEST ACTOR,Leslie Howard,False,Pygmalion
1939,BEST ACTOR,Robert Donat ,True,"Goodbye, Mr. Chips"
1939,BEST ACTOR,Clark Gable,False,Gone with the Wind
1939,BEST ACTOR,Laurence Olivier,False,Wuthering Heights
1939,BEST ACTOR,Mickey Rooney,False,Babes in Arms
1939,BEST ACTOR,James Stewart,False,Mr. Smith Goes to Washington
1940,BEST ACTOR,James Stewart ,True,The Philadelphia Story
1940,BEST ACTOR,Charlie Chaplin,False,The Great Dictator
1940,BEST ACTOR,Henry Fonda,False,The Grapes of Wrath
1940,BEST ACTOR,Raymond Massey,False,Abe Lincoln in Illinois
1940,BEST ACTOR,Laurence Olivier,False,Rebecca
1941,BEST ACTOR,Gary Cooper ,True,Sergeant York
1941,BEST ACTOR,Cary Grant,False,Penny Serenade
1941,BEST ACTOR,Walter Huston,False,The Devil and Daniel Webster
1941,BEST ACTOR,Robert Montgomery,False,Here Comes Mr. Jordan
1941,BEST ACTOR,Orson Welles,False,Citizen Kane
1942,BEST ACTOR,James Cagney ,True,Yankee Doodle Dandy
1942,BEST ACTOR,Ronald Colman,False,Random Harvest
1942,BEST ACTOR,Gary Cooper,False,The Pride of the Yankees
1942,BEST ACTOR,Walter Pidgeon,False,Mrs. Miniver
1942,BEST ACTOR,Monty Woolley,False,The Pied Piper
1943,BEST ACTOR,Paul Lukas ,True,Watch on the Rhine
1943,BEST ACTOR,Humphrey Bogart,False,Casablanca
1943,BEST ACTOR,Gary Cooper,False,For Whom the Bell Tolls
1943,BEST ACTOR,Walter Pidgeon,False,Madame Curie
1943,BEST ACTOR,Mickey Rooney,False,The Human Comedy
1944,BEST ACTOR,Bing Crosby ,True,Going My Way
1944,BEST ACTOR,Charles Boyer,False,Gaslight
1944,BEST ACTOR,Barry Fitzgerald,False,Going My Way
1944,BEST ACTOR,Cary Grant,False,None but the Lonely Heart
1944,BEST ACTOR,Alexander Knox,False,Wilson
1945,BEST ACTOR,Ray Milland ,True,The Lost Weekend
1945,BEST ACTOR,Bing Crosby,False,The Bells of St. Mary's
1945,BEST ACTOR,Gene Kelly,False,Anchors Aweigh
1945,BEST ACTOR,Gregory Peck,False,The Keys of the Kingdom
1945,BEST ACTOR,Cornel Wilde,False,A Song to Remember
1946,BEST ACTOR,Fredric March ,True,The Best Years of Our Lives
1946,BEST ACTOR,Laurence Olivier,False,Henry V
1946,BEST ACTOR,Larry Parks,False,The Jolson Story
1946,BEST ACTOR,Gregory Peck,False,The Yearling
1946,BEST ACTOR,James Stewart,False,It's a Wonderful Life
1947,BEST ACTOR,Ronald Colman ,True,A Double Life
1947,BEST ACTOR,John Garfield,False,Body and Soul
1947,BEST ACTOR,Gregory Peck,False,Gentleman's Agreement
1947,BEST ACTOR,William Powell,False,Life with Father
1947,BEST ACTOR,Michael Redgrave,False,Mourning Becomes Electra
1948,BEST ACTOR,Laurence Olivier ,True,Hamlet
1948,BEST ACTOR,Lew Ayres,False,Johnny Belinda
1948,BEST ACTOR,Montgomery Clift,False,The Search
1948,BEST ACTOR,Dan Dailey,False,When My Baby Smiles at Me
1948,BEST ACTOR,Clifton Webb,False,Sitting Pretty
1949,BEST ACTOR,Broderick Crawford ,True,All the King's Men
1949,BEST ACTOR,Kirk Douglas,False,Champion
