nconst,primaryName,primaryProfession,knownForTitles
nm0000001,Fred Astaire,"soundtrack,actor,miscellaneous","tt0050419,tt0043044,tt0072308,tt0053137"
nm0000002,Lauren Bacall,"actress,soundtrack","tt0038355,tt0071877,tt0037382,tt0117057"
nm0000003,Brigitte Bardot,"actress,soundtrack,producer","tt0057345,tt0059956,tt0049189,tt0054452"
nm0000004,John Belushi,"actor,writer,soundtrack","tt0077975,tt0078723,tt0080455,tt0072562"
nm0000005,Ingmar Bergman,"writer,director,actor","tt0050986,tt0069467,tt0050976,tt0083922"
nm0000006,Ingrid Bergman,"actress,soundtrack,producer","tt0038787,tt0038109,tt0071877,tt0036855"
nm0000007,Humphrey Bogart,"actor,soundtrack,producer","tt0033870,tt0043265,tt0034583,tt0037382"
nm0000008,Marlon Brando,"actor,soundtrack,director","tt0047296,tt0068646,tt0078788,tt0070849"
nm0000009,Richard Burton,"actor,producer,soundtrack","tt0057877,tt0061184,tt0059749,tt0087803"
nm0000010,James Cagney,"actor,soundtrack,director","tt0029870,tt0055256,tt0035575,tt0031867"
nm0000011,Gary Cooper,"actor,soundtrack,producer","tt0034167,tt0044706,tt0035211,tt0027996"
nm0000012,Bette Davis,"actress,soundtrack,make_up_department","tt0042192,tt0056687,tt0031210,tt0035140"
nm0000013,Doris Day,"soundtrack,actress,producer","tt0060463,tt0055100,tt0048317,tt0053172"
nm0000014,Olivia de Havilland,"actress,soundtrack","tt0029843,tt0041452,tt0031381,tt0040806"
nm0000015,James Dean,"actor,miscellaneous","tt0049261,tt0048028,tt0048545,tt0045458"
nm0000016,Georges Delerue,"composer,soundtrack,music_department","tt0069946,tt0080610,tt0096320,tt0091763"
nm0000017,Marlene Dietrich,"soundtrack,actress,music_department","tt0055031,tt0052311,tt0040367,tt0051201"
nm0000018,Kirk Douglas,"actor,producer,soundtrack","tt0080736,tt0052365,tt0049456,tt0054331"
nm0000019,Federico Fellini,"writer,director,assistant_director","tt0047528,tt0056801,tt0053779,tt0071129"
nm0000020,Henry Fonda,"actor,producer,soundtrack","tt0032551,tt0050083,tt0064116,tt0082846"
nm0000021,Joan Fontaine,"actress,soundtrack,producer","tt0036969,tt0034248,tt0032976,tt0039504"
nm0000022,Clark Gable,"actor,soundtrack,producer","tt0031381,tt0026752,tt0025316,tt0052278"
nm0000023,Judy Garland,"soundtrack,actress","tt0047522,tt0032138,tt0037059,tt0055031"
nm0000024,John Gielgud,"actor,writer,director","tt0082031,tt0117631,tt0071877,tt0045943"
nm0000025,Jerry Goldsmith,"music_department,soundtrack,composer","tt0100802,tt0119488,tt0117731,tt0112715"
nm0000026,Cary Grant,"actor,soundtrack,producer","tt0036613,tt0056923,tt0053125,tt0048728"
nm0000027,Alec Guinness,"actor,soundtrack,writer","tt0050212,tt0041546,tt0076759,tt0051739"
nm0000028,Rita Hayworth,"actress,soundtrack,producer","tt0038559,tt0036723,tt0040552,tt0040525"
nm0000029,Margaux Hemingway,"actress,miscellaneous","tt0102122,tt0077800,tt0074802,tt0110138"
nm0000030,Audrey Hepburn,"actress,soundtrack","tt0054698,tt0056923,tt0058385,tt0046250"
nm0000031,Katharine Hepburn,"actress,soundtrack,writer","tt0063227,tt0032904,tt0082846,tt0043265"
nm0000032,Charlton Heston,"actor,director,writer","tt0063442,tt0049833,tt0052618,tt0070723"
nm0000033,Alfred Hitchcock,"actor,director,producer","tt0052357,tt0053125,tt0054215,tt0030341"
nm0000034,William Holden,"actor,soundtrack","tt0043014,tt0046359,tt0065214,tt0074958"
nm0000035,James Horner,"music_department,soundtrack,composer","tt0120338,tt0120746,tt0120647,tt0499549"
nm0000036,Buster Keaton,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0015863"
nm0000037,Gene Kelly,"actor,soundtrack,director","tt0045152,tt0043278,tt0041716,tt0041944"
nm0000038,Grace Kelly,"actress,soundtrack","tt0047396,tt0048728,tt0044706,tt0046912"
nm0000039,Deborah Kerr,"actress,soundtrack","tt0049408,tt0050105,tt0039192,tt0045793"
nm0000040,Stanley Kubrick,"director,writer,producer","tt0066921,tt0062622,tt0120663,tt0072684"
nm0000041,Akira Kurosawa,"writer,director,assistant_director","tt0051808,tt0080979,tt0089881,tt0042876"
nm0000043,Veronica Lake,"actress,soundtrack,producer","tt0034881,tt0038369,tt0034240,tt0035432"
nm0000044,Burt Lancaster,"actor,producer,miscellaneous","tt0050468,tt0045793,tt0059825,tt0053793"
nm0000046,Vivien Leigh,"actress,soundtrack,writer","tt0055382,tt0033238,tt0044081,tt0031381"
nm0000047,Sophia Loren,"actress,soundtrack","tt0058335,tt0054749,tt0076085,tt0060121"
nm0000048,Peter Lorre,"actor,soundtrack,writer","tt0036613,tt0022100,tt0034583,tt0033870"
nm0000049,Henry Mancini,"music_department,soundtrack,composer","tt0383216,tt0054698,tt0057413,tt0085101"
nm0000051,James Mason,"actor,producer,writer","tt0053125,tt0046672,tt0056193,tt0047522"
nm0000052,Marcello Mastroianni,"actor,soundtrack,producer","tt0053779,tt0076085,tt0057171,tt0056801"
nm0000053,Robert Mitchum,"actor,soundtrack,producer","tt0056197,tt0048424,tt0039689,tt0050490"
nm0000054,Marilyn Monroe,"soundtrack,actress,writer","tt0053291,tt0048605,tt0050861,tt0045810"
nm0000055,Alfred Newman,"music_department,composer,soundtrack","tt0042192,tt0049408,tt0056085,tt0434409"
nm0000056,Paul Newman,"actor,producer,director","tt0084855,tt0090863,tt0061512,tt0054997"
nm0000057,David Niven,"actor,producer,soundtrack","tt0061452,tt0074937,tt0052182,tt0057413"
nm0000058,Maureen O'Hara,"actress,soundtrack","tt0041149,tt0055277,tt0039628,tt0045061"
nm0000059,Laurence Olivier,"actor,producer,director","tt0069281,tt0040416,tt0054331,tt0032976"
nm0000060,Gregory Peck,"actor,producer,soundtrack","tt0039416,tt0054953,tt0056592,tt0046250"
nm0000061,Tyrone Power,"actor,soundtrack,producer","tt0043959,tt0038873,tt0032762,tt0051201"
nm0000062,Elvis Presley,"soundtrack,actor,music_department","tt0054692,tt0056585,tt0056023,tt0053848"
nm0000063,Anthony Quinn,"actor,producer,soundtrack","tt0057831,tt0074896,tt0049456,tt0056172"
nm0000064,Edward G. Robinson,"actor,soundtrack,writer","tt0070723,tt0040506,tt0021079,tt0036775"
nm0000066,Jane Russell,"actress,soundtrack,producer","tt0045177,tt0045810,tt0043643,tt0043476"
nm0000067,Miklós Rózsa,"music_department,composer,soundtrack","tt0054847,tt0038109,tt0036775,tt0052618"
nm0000068,Randolph Scott,"actor,producer,soundtrack","tt0026942,tt0049743,tt0051047,tt0056412"
nm0000069,Frank Sinatra,"soundtrack,actor,producer","tt0045793,tt0056218,tt0052218,tt0050815"
nm0000070,Max Steiner,"music_department,composer,soundtrack","tt0031381,tt0040897,tt0034583,tt0036613"
nm0000071,James Stewart,"actor,soundtrack,director","tt0032904,tt0031679,tt0052561,tt0052357"
nm0000072,Elizabeth Taylor,"actress,soundtrack,producer","tt0061184,tt0051459,tt0056937,tt0053318"
nm0000073,Shirley Temple,"actress,soundtrack,writer","tt0032264,tt0030657,tt0040369,tt0027421"
nm0000074,Gene Tierney,"actress,soundtrack","tt0038492,tt0039420,tt0037008,tt0037865"
nm0000075,Spencer Tracy,"actor,soundtrack","tt0053946,tt0055031,tt0057193,tt0061735"
nm0000076,François Truffaut,"writer,director,producer","tt0055032,tt0075860,tt0070460,tt0053198"
nm0000077,Franz Waxman,"music_department,composer,soundtrack","tt0032976,tt0043924,tt0043014,tt0034248"
nm0000078,John Wayne,"actor,producer,soundtrack","tt0057298,tt0065126,tt0056217,tt0053580"
nm0000079,Raquel Welch,"actress,soundtrack,producer","tt0250494,tt0072281,tt0060397,tt0070291"
nm0000080,Orson Welles,"actor,director,writer","tt0059012,tt0033467,tt0052311,tt0057427"
nm0000081,Natalie Wood,"actress,soundtrack,music_department","tt0057263,tt0055614,tt0055471,tt0048545"
nm0000082,Victor Young,"music_department,soundtrack,composer","tt0045061,tt0090756,tt3315342,tt0119094"
nm0000084,Li Gong,actress,"tt0473444,tt0101640,tt0397535,tt0430357"
nm0000090,Armin Mueller-Stahl,"actor,director,writer","tt0117631,tt0963178,tt0139809,tt0765443"
nm0000092,John Cleese,"actor,writer,producer","tt0063929,tt0071853,tt0095159,tt0085959"
nm0000093,Brad Pitt,"actor,producer,soundtrack","tt0114746,tt0421715,tt1210166,tt0356910"
nm0000095,Woody Allen,"writer,director,actor","tt0091167,tt0075686,tt0079522,tt0097123"
nm0000096,Gillian Anderson,"actress,producer,soundtrack","tt2294189,tt0455590,tt0442632,tt0106179"
nm0000098,Jennifer Aniston,"actress,producer,soundtrack","tt1038919,tt3442006,tt0108778,tt1723121"
nm0000099,Patricia Arquette,"actress,director,soundtrack","tt0412175,tt0145531,tt0108399,tt1065073"
nm0000100,Rowan Atkinson,"actor,writer,producer","tt0109831,tt0110357,tt0274166,tt0118689"
nm0000101,Dan Aykroyd,"writer,actor,producer","tt0097428,tt0087332,tt0080455,tt0118747"
nm0000102,Kevin Bacon,"actor,producer,soundtrack","tt0327056,tt0361127,tt0164052,tt0087277"
nm0000103,Fairuza Balk,"actress,soundtrack","tt0181875,tt0115963,tt0089908,tt0120586"
nm0000104,Antonio Banderas,"actor,soundtrack,producer","tt0120657,tt0120746,tt0285823,tt1189073"
nm0000105,Adrienne Barbeau,"actress,writer,soundtrack","tt1024648,tt0090685,tt0082340,tt0080749"
nm0000106,Drew Barrymore,"producer,actress,soundtrack","tt0120888,tt0120631,tt0343660,tt0151738"
nm0000107,Kim Basinger,"actress,soundtrack,producer","tt0096895,tt0119488,tt0337921,tt0109890"
nm0000108,Luc Besson,"writer,producer,director","tt0110413,tt0100263,tt2872732,tt0119116"
nm0000110,Kenneth Branagh,"actor,producer,director","tt3402236,tt0116477,tt0107616,tt0097499"
nm0000111,Matthew Broderick,"actor,soundtrack,director","tt0395251,tt0115798,tt0086567,tt0091042"
nm0000112,Pierce Brosnan,"actor,producer,soundtrack","tt0120347,tt0143145,tt0113189,tt0795421"
nm0000113,Sandra Bullock,"producer,actress,soundtrack","tt1041829,tt1454468,tt0111257,tt0212346"
nm0000114,Steve Buscemi,"actor,director,producer","tt0162346,tt0116282,tt0105236,tt4686844"
nm0000115,Nicolas Cage,"actor,producer,soundtrack","tt0117500,tt0113627,tt0435705,tt0119094"
nm0000116,James Cameron,"writer,producer,director","tt0090605,tt0120338,tt0499549,tt0103064"
nm0000117,Neve Campbell,"actress,producer,soundtrack","tt0120082,tt0134084,tt0117571,tt1262416"
nm0000118,John Carpenter,"soundtrack,writer,music_department","tt0082340,tt0093777,tt0077651,tt0080749"
nm0000119,Tia Carrere,"actress,soundtrack,producer","tt0105793,tt0111503,tt0275847,tt0207919"
nm0000120,Jim Carrey,"actor,writer,producer","tt0120382,tt0338013,tt0315327,tt0109040"
nm0000122,Charles Chaplin,"writer,soundtrack,actor","tt0044837,tt0039631,tt0032553,tt0027977"
nm0000123,George Clooney,"actor,producer,director","tt0465538,tt1124035,tt2177771,tt1193138"
nm0000124,Jennifer Connelly,actress,"tt0315983,tt0102803,tt0180093,tt0268978"
nm0000125,Sean Connery,"actor,producer,soundtrack","tt0094226,tt0059800,tt0058150,tt0117500"
nm0000126,Kevin Costner,"actor,producer,soundtrack","tt0099348,tt0102798,tt0103855,tt0119925"
nm0000127,Wes Craven,"writer,producer,director","tt0111686,tt0117571,tt0087800,tt0105121"
nm0000128,Russell Crowe,"actor,soundtrack,producer","tt0268978,tt0119488,tt0172495,tt1707386"
nm0000129,Tom Cruise,"actor,producer,soundtrack","tt0325710,tt0092099,tt0120755,tt0116695"
nm0000130,Jamie Lee Curtis,"actress,producer,director","tt0095159,tt1502407,tt0111503,tt0322330"
nm0000131,John Cusack,"actor,producer,writer","tt0450385,tt0146882,tt0098258,tt0119229"
nm0000132,Claire Danes,"actress,producer,soundtrack","tt0274558,tt0117509,tt0108872,tt1796960"
nm0000133,Geena Davis,"actress,producer,soundtrack","tt0164912,tt0116908,tt0103074,tt0091064"
nm0000134,Robert De Niro,"actor,producer,soundtrack","tt0075314,tt0081398,tt0101540,tt0070379"
nm0000136,Johnny Depp,"actor,producer,soundtrack","tt0408236,tt0325980,tt0383574,tt0449088"
nm0000137,Bo Derek,"actress,producer,miscellaneous","tt0114694,tt0083170,tt0099656,tt0086987"
nm0000138,Leonardo DiCaprio,"actor,producer,writer","tt1375666,tt0120338,tt0407887,tt0993846"
nm0000139,Cameron Diaz,"actress,producer,soundtrack","tt0119738,tt0129387,tt0160127,tt0259711"
nm0000140,Michael Douglas,"actor,producer,soundtrack","tt0103772,tt0093010,tt0094291,tt1291580"
nm0000141,David Duchovny,"actor,producer,director","tt0106179,tt0443701,tt0904208,tt0120902"
nm0000142,Clint Eastwood,"actor,producer,director","tt0112579,tt1205489,tt0405159,tt0105695"
nm0000144,Cary Elwes,"actor,producer,director","tt0387564,tt0119468,tt0107977,tt0093779"
nm0000145,Sherilyn Fenn,"actress,soundtrack","tt0092240,tt0100935,tt0105046,tt0098936"
nm0000146,Ralph Fiennes,"actor,director,soundtrack","tt2278388,tt0108052,tt0387131,tt1201607"
nm0000147,Colin Firth,"actor,producer,soundtrack","tt1504320,tt0243155,tt2802144,tt1315981"
nm0000148,Harrison Ford,"actor,writer,producer","tt0106977,tt0082971,tt0090329,tt0118571"
nm0000149,Jodie Foster,"actress,director,producer","tt0094608,tt0075314,tt0102926,tt0118884"
nm0000150,Michael J. Fox,"actor,producer,miscellaneous","tt0099088,tt0096874,tt0088763,tt0116365"
nm0000151,Morgan Freeman,"actor,producer,soundtrack","tt0405159,tt0097239,tt0114369,tt1057500"
nm0000152,Richard Gere,"actor,soundtrack,producer","tt0100405,tt0299658,tt0358135,tt0119395"
nm0000153,Gina Gershon,"actress,soundtrack,producer","tt1726669,tt0095963,tt0114436,tt0115736"
nm0000154,Mel Gibson,"actor,producer,director","tt0104714,tt0286106,tt0117438,tt0112573"
