year,category,winner,entity
1929,ART DIRECTION,False,Bulldog Drummond
1929,ART DIRECTION,True,King of Jazz
1929,ART DIRECTION,False,The Love Parade
1929,ART DIRECTION,False,Sally
1929,ART DIRECTION,False,The Vagabond King
1929,CINEMATOGRAPHY,False,All Quiet on the Western Front
1929,CINEMATOGRAPHY,False,Anna Christie
1929,CINEMATOGRAPHY,False,Hell's Angels
1929,CINEMATOGRAPHY,False,The Love Parade
1929,CINEMATOGRAPHY,True,With Byrd at the South Pole
1929,DIRECTING,False,Clarence Brown
1929,DIRECTING,False,Robert Leonard
1929,DIRECTING,False,Ernst Lubitsch
1929,DIRECTING,True,Lewis Milestone
1929,DIRECTING,False,King Vidor
1929,OUTSTANDING PRODUCTION,True,All Quiet on the Western Front
1929,OUTSTANDING PRODUCTION,False,The Big House
1929,OUTSTANDING PRODUCTION,False,Disraeli
1929,OUTSTANDING PRODUCTION,False,The Divorcee
1929,OUTSTANDING PRODUCTION,False,The Love Parade
1929,SOUND RECORDING,True,The Big House
1929,SOUND RECORDING,False,The Case of Sergeant Grischa
1929,SOUND RECORDING,False,The Love Parade
1929,SOUND RECORDING,False,Raffles
1929,SOUND RECORDING,False,Song of the Flame
1929,WRITING,False,All Quiet on the Western Front
1929,WRITING,True,The Big House
1929,WRITING,False,Disraeli
1929,WRITING,False,The Divorcee
1929,WRITING,False,Street of Chance
1930,ART DIRECTION,True,Cimarron
1930,ART DIRECTION,False,Just Imagine
1930,ART DIRECTION,False,Morocco
1930,ART DIRECTION,False,Svengali
1930,ART DIRECTION,False,Whoopee!
1930,CINEMATOGRAPHY,False,Cimarron
1930,CINEMATOGRAPHY,False,Morocco
1930,CINEMATOGRAPHY,False,The Right to Love
1930,CINEMATOGRAPHY,False,Svengali
1930,CINEMATOGRAPHY,True,Tabu
1930,DIRECTING,False,Cimarron
1930,DIRECTING,False,A Free Soul
1930,DIRECTING,False,The Front Page
1930,DIRECTING,False,Morocco
1930,DIRECTING,True,Skippy
1930,OUTSTANDING PRODUCTION,True,Cimarron
1930,OUTSTANDING PRODUCTION,False,East Lynne
1930,OUTSTANDING PRODUCTION,False,The Front Page
1930,OUTSTANDING PRODUCTION,False,Skippy
1930,OUTSTANDING PRODUCTION,False,Trader Horn
1930,SOUND RECORDING,False,Samuel Goldwyn - United Artists Studio Sound Department
1930,SOUND RECORDING,False,Metro-Goldwyn-Mayer Studio Sound Department
1930,SOUND RECORDING,True,Paramount Publix Studio Sound Department
1930,SOUND RECORDING,False,RKO Radio Studio Sound Department
1930,WRITING (Adaptation),True,Cimarron
1930,WRITING (Adaptation),False,The Criminal Code
1930,WRITING (Adaptation),False,Holiday
1930,WRITING (Adaptation),False,Little Caesar
1930,WRITING (Adaptation),False,Skippy
1931,ART DIRECTION,False,À Nous la Liberté
1931,ART DIRECTION,False,Arrowsmith
1931,ART DIRECTION,True,Transatlantic
1931,CINEMATOGRAPHY,False,Arrowsmith
